X [s]	1 Gast Med [V]	2 T Ant [V]	3 R Fem [V]	4 B Fem [V]	
21.860000	5.590425e-07	-1.064068e-04	-6.890234e-06	-2.980417e-06	
21.861001	-2.329044e-06	-5.768863e-05	-1.960564e-06	-3.430544e-06	
21.862002	-2.314524e-06	-9.158959e-06	5.307286e-06	-7.850248e-06	
21.863003	-1.726124e-06	2.078816e-06	6.513573e-06	-1.005937e-05	
21.864004	-7.047915e-07	1.425805e-05	6.264635e-06	-7.056623e-06	
21.865004	3.648673e-06	1.501297e-05	1.063310e-05	-3.657761e-06	
21.866005	7.541601e-07	-6.130663e-06	1.149724e-05	4.613252e-07	
21.867006	-6.361215e-06	-3.412810e-05	4.020244e-06	2.369774e-06	
21.868007	-6.528712e-06	-3.814098e-05	-2.734766e-06	-2.202643e-06	
21.869008	-4.405217e-06	-1.954714e-05	-3.326947e-06	-5.841216e-06	
21.870009	-2.466787e-06	-6.243666e-06	-1.885375e-06	-3.905570e-06	
21.871010	1.414398e-06	1.922635e-05	-1.951316e-06	-3.747658e-06	
21.872011	4.770303e-06	5.538831e-05	-2.365444e-06	-4.471869e-06	
21.873011	6.550626e-06	7.480944e-05	-2.308015e-06	3.587809e-07	
21.874012	9.174319e-06	7.795801e-05	-4.475223e-06	5.955085e-06	
21.875013	8.359708e-06	3.918558e-05	-4.596777e-06	8.149812e-06	
21.876014	6.777503e-07	-3.488568e-05	-2.405416e-06	8.563883e-06	
21.877015	-2.561272e-06	-6.300834e-05	-4.733509e-06	7.561150e-06	
21.878016	1.603519e-06	-2.145144e-05	-6.160016e-06	7.270515e-06	
21.879017	3.013308e-06	1.697837e-05	-2.535329e-06	6.097441e-06	
21.880018	1.009982e-06	3.514367e-06	-1.700690e-06	6.909512e-07	
21.881018	1.828083e-07	-4.703871e-06	-4.369790e-06	-2.992194e-06	
21.882019	1.542743e-06	-4.441981e-06	5.858465e-07	1.950748e-06	
21.883020	1.090038e-06	-5.794633e-05	7.650962e-06	7.495920e-06	
21.884021	-1.400543e-06	-7.042734e-05	6.383758e-06	3.189327e-06	
21.885022	-4.232800e-06	-5.206242e-06	3.362068e-06	-2.565422e-06	
21.886023	-6.501979e-06	-9.065436e-07	-1.943704e-06	-5.432319e-06	
21.887024	-2.164251e-06	-6.096837e-06	-6.576950e-06	-7.387658e-06	
21.888025	8.218135e-07	6.470353e-05	-5.371128e-06	-5.563949e-06	
21.889025	-4.239426e-06	8.724119e-05	-2.477981e-06	-5.742708e-06	
21.890026	-6.414213e-06	3.568367e-05	3.947452e-06	-3.924680e-06	
21.891027	-1.450418e-06	-1.119641e-05	9.352297e-06	2.718321e-06	
21.892028	-4.185748e-07	-4.895135e-05	1.024079e-05	3.606165e-06	
21.893029	-5.952110e-06	-6.750192e-05	9.382449e-06	-4.582528e-07	
21.894030	-2.180749e-06	1.025315e-06	5.285467e-06	-1.029044e-06	
21.895031	6.266918e-06	1.139989e-04	1.446880e-06	2.752238e-06	
21.896032	6.484019e-06	1.284039e-04	-1.323862e-06	1.403288e-06	
21.897032	4.472034e-06	7.148259e-05	-3.039391e-06	-2.924337e-06	
21.898033	3.461535e-06	-1.417064e-05	-3.901139e-06	-4.441356e-06	
21.899034	2.056382e-06	-8.712185e-05	-5.949838e-06	-4.108514e-06	
21.900035	9.461058e-07	-5.939785e-05	-5.203975e-06	-6.284803e-07	
21.901036	1.056430e-06	-2.199849e-05	-4.920796e-06	-2.012618e-06	
21.902037	-5.857814e-07	-1.664529e-05	-5.954107e-06	-1.736548e-06	
21.903038	-7.115415e-07	-9.641054e-06	-7.347724e-06	3.763715e-06	
21.904039	1.163066e-07	-9.839191e-06	-8.160084e-06	2.810671e-06	
21.905040	-9.644375e-07	6.077482e-06	-4.543793e-07	4.268393e-06	
21.906040	5.352260e-06	1.058210e-05	7.642442e-06	7.355254e-06	
21.907041	4.911966e-06	-6.027692e-07	9.606941e-06	4.403215e-06	
21.908042	-5.397773e-06	-7.484893e-06	4.570439e-06	5.916274e-07	
21.909043	-5.816735e-06	-1.749886e-05	-6.565973e-06	-2.262014e-06	
