NO_OF_SAMPLES	441
FREQUENCY	100
TIME_STAMP	2020-11-06, 17:06:58	195597.16557433
FIRST_SAMPLE	544
DESCRIPTION	Force data in local (force plate) coordinates
DATA_INCLUDED	Force
FORCE_PLATE_TYPE	Amti
FORCE_PLATE_MODEL	Unknown
FORCE_PLATE_NAME	Force-plate 1
FORCE_PLATE_CORNER_POSX_POSY_X	-88.329201
FORCE_PLATE_CORNER_POSX_POSY_Y	573.721008
FORCE_PLATE_CORNER_POSX_POSY_Z	0.000000
FORCE_PLATE_CORNER_NEGX_POSY_X	-89.185501
FORCE_PLATE_CORNER_NEGX_POSY_Y	115.864998
FORCE_PLATE_CORNER_NEGX_POSY_Z	0.000000
FORCE_PLATE_CORNER_NEGX_NEGY_X	-592.245972
FORCE_PLATE_CORNER_NEGX_NEGY_Y	113.574997
FORCE_PLATE_CORNER_NEGX_NEGY_Z	0.000000
FORCE_PLATE_CORNER_POSX_NEGY_X	-594.474976
FORCE_PLATE_CORNER_POSX_NEGY_Y	572.864990
FORCE_PLATE_CORNER_POSX_NEGY_Z	0.000000
FORCE_PLATE_LENGTH	508.000000
FORCE_PLATE_WIDTH	463.550000
Sample	Time	Force_X	Force_Y	Force_Z	Moment_X	Moment_Y	Moment_Z	COP_X	COP_Y	COP_Z
544	5.43000	0.624881	0.197387	1.731737	0.167911	0.115036	-0.021975	0.000000	0.000000	0.000000	
545	5.44000	0.715443	0.357677	1.911101	0.203949	0.160597	-0.012951	0.000000	0.000000	0.000000	
546	5.45000	0.579296	0.334219	1.643076	0.176945	0.105920	-0.003458	0.000000	0.000000	0.000000	
547	5.46000	0.624924	0.334560	1.730749	0.204021	0.097098	0.010201	0.000000	0.000000	0.000000	
548	5.47000	0.556446	0.334420	1.642072	0.195192	0.096994	-0.008040	0.000000	0.000000	0.000000	
549	5.48000	0.624648	0.334557	1.376187	0.203826	0.097154	0.010233	0.000000	0.000000	0.000000	
550	5.49000	0.579261	0.425300	1.643731	0.159030	0.096699	-0.003347	0.000000	0.000000	0.000000	
551	5.50000	0.624690	0.379802	1.377487	0.167733	0.096866	0.005745	0.000000	0.000000	0.000000	
552	5.51000	0.693231	0.402985	1.997305	0.177454	0.078864	-0.008145	0.000000	0.000000	0.000000	
553	5.52000	0.624840	0.265802	1.643117	0.167901	0.105956	-0.012728	0.000000	0.000000	0.000000	
554	5.53000	0.556972	0.379780	1.995788	0.168625	0.051460	-0.007926	0.000000	0.000000	0.000000	
555	5.54000	0.579244	0.266067	1.642283	0.203946	0.115205	-0.003571	0.000000	0.000000	0.000000	
556	5.55000	0.624286	0.425956	1.464768	0.195514	0.079026	-0.021793	0.000000	0.000000	0.000000	
557	5.56000	0.693575	0.334644	1.906285	0.195443	0.042794	0.010186	0.000000	0.000000	0.000000	
558	5.57000	0.556334	0.334478	1.642052	0.195315	0.097018	-0.017218	0.000000	0.000000	0.000000	
559	5.58000	0.625131	0.356696	1.733229	0.149529	0.114748	0.014886	0.000000	0.000000	0.000000	
