NO_OF_SAMPLES	441
FREQUENCY	100
TIME_STAMP	2020-11-06, 17:06:58	195597.16557433
FIRST_SAMPLE	544
DESCRIPTION	Force data in local (force plate) coordinates
DATA_INCLUDED	Force
FORCE_PLATE_TYPE	Amti
FORCE_PLATE_MODEL	Unknown
FORCE_PLATE_NAME	Force-plate 2
FORCE_PLATE_CORNER_POSX_POSY_X	517.924011
FORCE_PLATE_CORNER_POSX_POSY_Y	474.072998
FORCE_PLATE_CORNER_POSX_POSY_Z	0.000000
FORCE_PLATE_CORNER_NEGX_POSY_X	519.979004
FORCE_PLATE_CORNER_NEGX_POSY_Y	17.014200
FORCE_PLATE_CORNER_NEGX_POSY_Z	0.000000
FORCE_PLATE_CORNER_NEGX_NEGY_X	17.079901
FORCE_PLATE_CORNER_NEGX_NEGY_Y	17.752501
FORCE_PLATE_CORNER_NEGX_NEGY_Z	0.000000
FORCE_PLATE_CORNER_POSX_NEGY_X	16.074800
FORCE_PLATE_CORNER_POSX_NEGY_Y	475.464996
FORCE_PLATE_CORNER_POSX_NEGY_Z	0.000000
FORCE_PLATE_LENGTH	508.000000
FORCE_PLATE_WIDTH	463.550000
Sample	Time	Force_X	Force_Y	Force_Z	Moment_X	Moment_Y	Moment_Z	COP_X	COP_Y	COP_Z
544	5.43000	1.912027	1.530205	687.434247	-25.904288	5.497884	0.173583	-8.541111	-38.127501	0.000000	
545	5.44000	1.957912	1.575817	687.791910	-25.922072	5.433932	0.178115	-8.446589	-38.136376	0.000000	
546	5.45000	1.913586	1.552628	688.238037	-25.858303	5.443456	0.155259	-8.452648	-38.017880	0.000000	
547	5.46000	1.843716	1.575998	687.879847	-25.903620	5.388687	0.146242	-8.373128	-38.104733	0.000000	
548	5.47000	1.842239	1.690364	687.432215	-25.921782	5.388753	0.146178	-8.378308	-38.162410	0.000000	
549	5.48000	1.751954	1.689811	687.879306	-25.948834	5.379190	0.141818	-8.353974	-38.177133	0.000000	
550	5.49000	1.705726	1.712692	687.431373	-25.903566	5.388722	0.141893	-8.370303	-38.137261	0.000000	
551	5.50000	1.704939	1.781298	687.162542	-25.894490	5.398047	0.137251	-8.386933	-38.142841	0.000000	
552	5.51000	1.682710	1.735719	687.609669	-25.921417	5.334034	0.128194	-8.287367	-38.154771	0.000000	
553	5.52000	1.703750	1.895971	687.071332	-25.875771	5.289208	0.118896	-8.229510	-38.127311	0.000000	
554	5.53000	1.680834	1.895931	687.071589	-25.903099	5.316333	0.114332	-8.267648	-38.167070	0.000000	
555	5.54000	1.702803	1.964613	686.802829	-25.893979	5.307445	0.114247	-8.259056	-38.172601	0.000000	
556	5.55000	1.681233	1.963817	686.981895	-25.857707	5.325545	0.137279	-8.282104	-38.109898	0.000000	
557	5.56000	1.680791	1.941387	687.161336	-25.939297	5.288603	0.128126	-8.226268	-38.217464	0.000000	
558	5.57000	1.680574	1.805023	687.072630	-25.966844	5.325040	0.109763	-8.280293	-38.254481	0.000000	
559	5.58000	1.727300	1.804634	687.699502	-26.011931	5.269742	0.128107	-8.195456	-38.285472	0.000000	
560	5.59000	1.704556	1.872830	687.878222	-26.038904	5.223852	0.137367	-8.125399	-38.318809	0.000000	
561	5.60000	1.727990	1.781815	688.325771	-26.065928	5.169005	0.128214	-8.042082	-38.328079	0.000000	
562	5.61000	1.636803	1.668034	688.504888	-26.120501	5.186951	0.096288	-8.060852	-38.390831	0.000000	
563	5.62000	1.726662	1.646218	688.236899	-26.156778	5.132398	0.091516	-7.989796	-38.457080	0.000000	
564	5.63000	1.704403	1.577362	687.879506	-26.093574	5.150810	0.123749	-8.019192	-38.380976	0.000000	
565	5.64000	1.770440	1.510402	687.254266	-26.175445	5.086956	0.119040	-7.937039	-38.530788	0.000000	
566	5.65000	1.771874	1.441409	687.702311	-26.184633	5.132156	0.123648	-7.997959	-38.515251	0.000000	
567	5.66000	1.839348	1.419423	687.702639	-26.238943	5.068279	0.114349	-7.909009	-38.592922	0.000000	
568	5.67000	1.839970	1.327952	687.883002	-26.293744	5.131477	0.118941	-7.998957	-38.657227	0.000000	
569	5.68000	1.930768	1.282774	687.794582	-26.330096	5.085707	0.137162	-7.938681	-38.712366	0.000000	
570	5.69000	1.862285	1.282607	687.705051	-26.339245	5.094678	0.137312	-7.948708	-38.730655	0.000000	
571	5.70000	1.929590	1.374363	687.615437	-26.375262	5.021723	0.141761	-7.847517	-38.793390	0.000000	
572	5.71000	1.793006	1.374094	687.883358	-26.420505	5.012186	0.123710	-7.822796	-38.844174	0.000000	
573	5.72000	1.747613	1.350985	687.884039	-26.456868	4.984325	0.146830	-7.779638	-38.895651	0.000000	
574	5.73000	1.950979	1.329611	687.347848	-26.456987	4.957605	0.141761	-7.758369	-38.924640	0.000000	
575	5.74000	1.950387	1.398293	687.436875	-26.492930	4.875420	0.141796	-7.637834	-38.975941	0.000000	
576	5.75000	1.995975	1.375463	687.438056	-26.538609	4.938827	0.146247	-7.732718	-39.040989	0.000000	
577	5.76000	2.086612	1.330565	687.348765	-26.538545	4.893548	0.141486	-7.673084	-39.043300	0.000000	
578	5.77000	2.017720	1.284920	687.081399	-26.602250	4.847327	0.169267	-7.604607	-39.148408	0.000000	
579	5.78000	2.063913	1.262214	687.708014	-26.665434	4.783044	0.164642	-7.507293	-39.203612	0.000000	
