NO_OF_FRAMES	135
NO_OF_CAMERAS	14
NO_OF_MARKERS	19
FREQUENCY	100
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2020-11-06, 17:12:54	195952.96520102
DATA_INCLUDED	3D
MARKER_NAMES	1 - Head	2 - L_Shoulder	3 - L_Elbow	4 - L_Wrist	5 - R_Shoulder	6 - R_Elbow	7 - R_Wrist	8 - L_Hip	9 - L_Knee	10 - L_Ankle	11 - L_Heel	12 - L_Meta_V	13 - L_Toe_II	14 - R_Hip	15 - R_Knee	16 - R_Ankle	17 - R_Heel	18 - R_Meta_V	19 - R_Toe_II
Frame	Time	1 - Head X	1 - Head Y	1 - Head Z	2 - L_Shoulder X	2 - L_Shoulder Y	2 - L_Shoulder Z	3 - L_Elbow X	3 - L_Elbow Y	3 - L_Elbow Z	4 - L_Wrist X	4 - L_Wrist Y	4 - L_Wrist Z	5 - R_Shoulder X	5 - R_Shoulder Y	5 - R_Shoulder Z	6 - R_Elbow X	6 - R_Elbow Y	6 - R_Elbow Z	7 - R_Wrist X	7 - R_Wrist Y	7 - R_Wrist Z	8 - L_Hip X	8 - L_Hip Y	8 - L_Hip Z	9 - L_Knee X	9 - L_Knee Y	9 - L_Knee Z	10 - L_Ankle X	10 - L_Ankle Y	10 - L_Ankle Z	11 - L_Heel X	11 - L_Heel Y	11 - L_Heel Z	12 - L_Meta_V X	12 - L_Meta_V Y	12 - L_Meta_V Z	13 - L_Toe_II X	13 - L_Toe_II Y	13 - L_Toe_II Z	14 - R_Hip X	14 - R_Hip Y	14 - R_Hip Z	15 - R_Knee X	15 - R_Knee Y	15 - R_Knee Z	16 - R_Ankle X	16 - R_Ankle Y	16 - R_Ankle Z	17 - R_Heel X	17 - R_Heel Y	17 - R_Heel Z	18 - R_Meta_V X	18 - R_Meta_V Y	18 - R_Meta_V Z	19 - R_Toe_II X	19 - R_Toe_II Y	19 - R_Toe_II Z	
2177	21.76000	-112.716	406.351	1578.755	-229.355	560.527	1339.940	-235.475	673.288	1030.685	-32.367	592.371	1086.451	-255.363	278.884	1335.534	-275.755	152.953	1039.273	-90.001	284.597	1041.605	-254.070	605.954	818.796	-295.029	528.816	464.092	-397.360	484.683	69.270	-455.893	440.394	36.319	-307.238	513.135	27.698	-234.082	467.251	29.794	-234.469	204.584	799.213	-49.107	260.724	465.175	17.824	306.706	77.714	-15.106	363.997	35.440	114.821	275.373	57.238	169.989	310.145	81.476
2178	21.77000	-102.253	404.869	1576.030	-218.671	559.986	1338.182	-224.506	673.022	1028.763	-21.721	591.377	1084.098	-245.422	278.399	1333.271	-266.745	153.153	1036.626	-80.203	284.269	1039.164	-246.574	605.359	818.064	-287.148	528.176	463.490	-397.084	484.552	69.702	-455.566	439.902	36.818	-307.564	512.725	27.510	-233.985	467.293	29.783	-223.718	203.949	797.088	-43.912	261.378	459.979	43.897	304.922	77.990	12.742	361.883	34.316	142.023	273.464	61.456	196.222	308.421	87.528
2179	21.78000	-91.907	403.138	1574.422	-208.119	559.250	1336.488	-213.967	672.758	1027.044	-11.032	590.569	1081.857	-235.622	277.658	1331.055	-257.412	153.071	1034.154	-70.210	283.657	1036.838	-238.028	604.617	816.782	-277.073	527.516	461.586	-396.624	484.304	70.051	-455.459	439.366	37.814	-307.297	512.984	27.672	-233.995	467.315	29.702	-212.253	203.492	793.773	-38.079	260.914	455.523	67.858	302.862	79.196	38.576	359.756	33.914	167.845	272.254	65.219	220.604	307.211	93.611
2180	21.79000	-81.350	401.735	1572.555	-197.905	558.502	1334.790	-202.586	672.061	1025.574	-0.989	589.832	1079.984	-225.455	276.760	1328.974	-247.950	152.963	1031.301	-59.925	283.051	1034.578	-229.423	603.995	815.912	-269.281	527.116	459.067	-396.069	483.976	70.536	-454.976	438.532	38.593	-307.226	512.939	27.860	-234.374	467.211	29.579	-200.999	202.913	790.474	-30.872	259.964	451.784	89.912	301.102	80.473	61.458	357.448	34.131	191.092	271.191	69.288	242.742	306.698	98.664
2181	21.80000	-71.037	400.352	1570.415	-187.672	557.304	1333.318	-191.980	671.350	1024.224	9.721	588.892	1078.232	-215.029	275.636	1326.741	-238.292	152.820	1028.937	-49.533	282.616	1032.555	-220.930	603.197	814.706	-262.030	526.711	457.911	-395.669	483.530	71.129	-454.707	437.006	39.958	-307.484	512.650	28.167	-234.421	467.172	29.567	-189.259	202.217	788.138	-22.770	259.123	448.708	109.571	299.396	81.674	81.899	355.563	34.166	211.400	270.980	72.090	262.396	306.717	103.317
2182	21.81000	-60.612	398.510	1568.486	-177.640	556.057	1331.737	-181.734	670.690	1023.112	19.923	587.997	1076.652	-204.706	274.352	1324.799	-228.029	152.528	1026.206	-38.167	281.887	1030.256	-211.426	602.093	813.091	-253.236	526.498	457.389	-394.983	483.099	71.950	-454.269	436.056	41.670	-307.351	512.263	28.133	-234.657	467.015	29.477	-178.181	200.876	786.110	-15.135	258.933	445.970	126.316	298.586	82.407	99.463	354.161	33.672	228.852	270.600	74.742	279.039	307.306	106.879
2183	21.82000	-49.958	396.800	1567.421	-167.560	554.516	1330.361	-171.418	670.000	1021.578	30.275	587.147	1075.702	-193.998	272.681	1322.815	-217.204	151.908	1023.873	-28.594	281.652	1028.545	-201.719	600.971	812.081	-244.805	525.957	456.571	-394.284	482.582	73.560	-453.896	435.453	43.805	-307.292	512.006	28.268	-234.753	466.964	29.423	-166.257	200.110	784.295	-6.657	259.016	443.503	140.596	297.754	82.105	113.892	353.254	32.699	244.041	270.671	75.203	293.213	307.868	108.261
2184	21.83000	-39.591	395.093	1565.566	-157.440	552.786	1329.217	-161.080	668.883	1020.788	40.511	586.248	1075.065	-183.066	270.877	1320.898	-206.441	151.208	1021.652	-17.225	281.304	1026.616	-191.822	600.066	810.629	-237.601	525.359	455.436	-393.089	482.329	75.187	-453.310	435.144	46.122	-307.555	511.461	28.179	-234.632	467.211	29.544	-154.823	199.090	783.345	2.944	258.484	441.948	151.671	297.428	80.502	125.255	352.894	30.970	255.191	270.860	74.529	304.272	308.464	107.817
2185	21.84000	-29.213	392.998	1564.561	-147.458	551.024	1328.389	-150.850	667.844	1020.213	50.596	585.051	1073.716	-171.986	268.968	1319.141	-195.012	150.294	1019.327	-5.963	280.653	1023.711	-181.235	598.973	808.780	-229.288	525.384	453.966	-392.531	482.509	77.691	-453.012	435.181	49.420	-307.377	511.404	28.381	-234.831	467.343	29.547	-142.470	198.512	782.521	13.838	257.793	441.240	160.159	297.390	78.671	133.075	352.860	28.969	263.935	270.905	71.805	312.739	309.051	104.743
2186	21.85000	-18.579	390.748	1563.479	-137.178	548.865	1327.549	-140.867	666.598	1019.686	60.613	584.039	1073.461	-160.724	266.772	1317.725	-183.153	149.266	1017.189	5.472	280.365	1022.226	-170.489	597.929	807.489	-221.807	525.235	452.665	-391.939	482.714	79.994	-452.407	435.358	53.016	-307.097	511.282	28.314	-234.863	467.426	29.583	-130.542	197.659	781.884	24.956	256.943	441.547	166.240	298.007	75.496	138.105	352.856	26.454	269.452	271.678	67.737	318.842	309.570	99.411
