NO_OF_SAMPLES	135
FREQUENCY	100
TIME_STAMP	2020-11-06, 17:12:54	195952.96520102
FIRST_SAMPLE	2177
DESCRIPTION	Force data in local (force plate) coordinates
DATA_INCLUDED	Force
FORCE_PLATE_TYPE	Amti
FORCE_PLATE_MODEL	Unknown
FORCE_PLATE_NAME	Force-plate 2
FORCE_PLATE_CORNER_POSX_POSY_X	517.924011
FORCE_PLATE_CORNER_POSX_POSY_Y	474.072998
FORCE_PLATE_CORNER_POSX_POSY_Z	0.000000
FORCE_PLATE_CORNER_NEGX_POSY_X	519.979004
FORCE_PLATE_CORNER_NEGX_POSY_Y	17.014200
FORCE_PLATE_CORNER_NEGX_POSY_Z	0.000000
FORCE_PLATE_CORNER_NEGX_NEGY_X	17.079901
FORCE_PLATE_CORNER_NEGX_NEGY_Y	17.752501
FORCE_PLATE_CORNER_NEGX_NEGY_Z	0.000000
FORCE_PLATE_CORNER_POSX_NEGY_X	16.074800
FORCE_PLATE_CORNER_POSX_NEGY_Y	475.464996
FORCE_PLATE_CORNER_POSX_NEGY_Z	0.000000
FORCE_PLATE_LENGTH	508.000000
FORCE_PLATE_WIDTH	463.550000
Sample	Time	Force_X	Force_Y	Force_Z	Moment_X	Moment_Y	Moment_Z	COP_X	COP_Y	COP_Z
2177	21.76000	0.725442	0.189751	0.585575	0.375299	0.534076	0.161064	0.000000	0.000000	0.000000	
2178	21.77000	0.793911	0.258237	0.674307	0.420861	0.543653	0.151681	0.000000	0.000000	0.000000	
2179	21.78000	0.680174	0.212343	0.674201	0.411691	0.552566	0.147362	0.000000	0.000000	0.000000	
2180	21.79000	0.771165	0.303809	0.852564	0.421110	0.516343	0.142549	0.000000	0.000000	0.000000	
2181	21.80000	0.771338	0.258099	0.853367	0.393698	0.534257	0.151747	0.000000	0.000000	0.000000	
2182	21.81000	0.770739	0.212985	0.584599	0.420820	0.543848	0.133362	0.000000	0.000000	0.000000	
2183	21.82000	0.657395	0.257736	0.763737	0.384519	0.552260	0.151997	0.000000	0.000000	0.000000	
2184	21.83000	0.794725	0.257972	1.031793	0.439072	0.589322	0.133274	0.000000	0.000000	0.000000	
2185	21.84000	0.816945	0.258160	0.763938	0.420834	0.561850	0.151617	0.000000	0.000000	0.000000	
2186	21.85000	0.816645	0.258507	0.852924	0.412016	0.498147	0.142474	0.000000	0.000000	0.000000	
2187	21.86000	0.747909	0.258294	0.585021	0.384560	0.516024	0.156400	0.000000	0.000000	0.000000	
2188	21.87000	2.104920	-3.084197	9.372243	-0.567668	-0.363635	-0.060481	29.354068	-47.718074	0.000000	
2189	21.88000	13.159645	-16.668737	115.956968	-10.543606	-11.231473	-0.454828	91.872700	-85.513539	0.000000	
2190	21.89000	24.207057	-9.988535	204.397655	-17.527951	-20.490798	1.232286	95.064991	-84.148594	0.000000	
2191	21.90000	23.228533	15.769006	213.431928	-16.501679	-21.259972	3.656771	94.810580	-80.636562	0.000000	
2192	21.91000	16.990533	50.989481	246.299825	-16.892337	-24.090550	6.533484	94.609624	-77.248251	0.000000	
2193	21.92000	11.532739	70.962266	261.407045	-16.349690	-24.922786	7.688594	93.138571	-73.794889	0.000000	
2194	21.93000	9.034384	62.171557	334.128897	-19.138968	-30.519710	6.068699	89.824213	-65.103177	0.000000	
2195	21.94000	1.450906	74.466357	387.369500	-20.236929	-34.548164	7.097973	88.604472	-60.312342	0.000000	
2196	21.95000	-8.193073	92.321610	405.145098	-18.398048	-35.169831	8.277588	87.187760	-54.911606	0.000000	
2197	21.96000	-8.637553	98.009415	455.456547	-18.739874	-39.169227	8.143491	86.329208	-50.136832	0.000000	
2198	21.97000	-9.372544	109.466366	507.364281	-18.810758	-43.596046	8.936678	86.236077	-46.089727	0.000000	
2199	21.98000	-11.994557	123.568884	573.390486	-19.215119	-49.238572	10.065673	86.280378	-42.515674	0.000000	
2200	21.99000	-9.710262	126.689672	635.620105	-20.395888	-54.974047	9.955567	86.670132	-40.442749	0.000000	
2201	22.00000	-11.388636	127.664265	678.442018	-21.093800	-58.629024	9.834899	86.659021	-38.998876	0.000000	
2202	22.01000	-13.520137	123.822190	706.434053	-21.598624	-60.817026	9.315631	86.426437	-37.964003	0.000000	
2203	22.02000	-17.629589	117.591613	720.476357	-21.788787	-61.587200	8.579699	86.031427	-37.147889	0.000000	
2204	22.03000	-22.795693	110.154848	727.453617	-21.740165	-61.552264	7.721737	85.439105	-36.317892	0.000000	
2205	22.04000	-25.693848	101.613797	730.060907	-21.704417	-61.275096	6.812573	84.912096	-35.670986	0.000000	
2206	22.05000	-25.930219	92.808086	732.055539	-21.814573	-61.141674	6.030658	84.510260	-35.242498	0.000000	
2207	22.06000	-24.324865	84.189571	731.821625	-21.771443	-60.987252	5.432716	84.238365	-34.722087	0.000000	
2208	22.07000	-22.933582	76.253898	724.878610	-21.414360	-60.174616	4.995128	83.851259	-34.119296	0.000000	
2209	22.08000	-22.187695	69.022006	711.133656	-20.561871	-58.593595	4.686642	83.214967	-33.164990	0.000000	
2210	22.09000	-22.700518	62.220306	692.908559	-19.375534	-56.591571	4.371250	82.555469	-31.921900	0.000000	
2211	22.10000	-24.197196	55.826830	671.724283	-17.918407	-54.086385	3.960977	81.532584	-30.366201	0.000000	
2212	22.11000	-25.245694	50.119271	646.602218	-16.199110	-51.368509	3.622606	80.578855	-28.518968	0.000000	
2213	22.12000	-25.502032	44.893488	619.692170	-14.434642	-48.585089	3.323428	79.621714	-26.556201	0.000000	
2214	22.13000	-25.182879	39.712691	596.272949	-12.777166	-46.058198	3.059992	78.506608	-24.456838	0.000000	
2215	22.14000	-24.179703	35.057350	574.373291	-11.117537	-43.822475	2.831792	77.553816	-22.161034	0.000000	
2216	22.15000	-22.734761	31.263949	556.853976	-9.354299	-41.989151	2.749793	76.610916	-19.407243	0.000000	
2217	22.16000	-21.327504	27.171877	543.182632	-7.725567	-40.431587	2.682161	75.578550	-16.585922	0.000000	
2218	22.17000	-19.684207	22.600040	533.628546	-6.213047	-39.231174	2.619204	74.566325	-13.698274	0.000000	
2219	22.18000	-18.418742	18.046185	528.546668	-4.843329	-38.389778	2.621935	73.599429	-10.889313	0.000000	
2220	22.19000	-17.328129	13.580863	527.665949	-3.516124	-37.923579	2.602511	72.756533	-8.052045	0.000000	
2221	22.20000	-16.684143	9.133319	530.899925	-2.341202	-37.734512	2.648860	71.905901	-5.455883	0.000000	
2222	22.21000	-16.011742	5.343709	537.260192	-1.081536	-37.874301	2.750415	71.259504	-2.767819	0.000000	
2223	22.22000	-15.764840	2.004582	546.569225	0.225494	-38.162064	2.931171	70.546837	-0.090225	0.000000	
2224	22.23000	-15.379220	-0.970843	556.859546	1.660947	-38.585972	3.143779	69.968665	2.697070	0.000000	
