NO_OF_SAMPLES	689
FREQUENCY	100
TIME_STAMP	2020-11-06, 17:38:20	197478.89455217
FIRST_SAMPLE	1133
DESCRIPTION	Force data in local (force plate) coordinates
DATA_INCLUDED	Force
FORCE_PLATE_TYPE	Amti
FORCE_PLATE_MODEL	Unknown
FORCE_PLATE_NAME	Force-plate 3
FORCE_PLATE_CORNER_POSX_POSY_X	1137.770020
FORCE_PLATE_CORNER_POSX_POSY_Y	573.268982
FORCE_PLATE_CORNER_POSX_POSY_Z	0.000000
FORCE_PLATE_CORNER_NEGX_POSY_X	1133.949951
FORCE_PLATE_CORNER_NEGX_POSY_Y	114.096001
FORCE_PLATE_CORNER_NEGX_POSY_Z	0.000000
FORCE_PLATE_CORNER_NEGX_NEGY_X	630.994019
FORCE_PLATE_CORNER_NEGX_NEGY_Y	120.760002
FORCE_PLATE_CORNER_NEGX_NEGY_Z	0.000000
FORCE_PLATE_CORNER_POSX_NEGY_X	631.823975
FORCE_PLATE_CORNER_POSX_NEGY_Y	581.182007
FORCE_PLATE_CORNER_POSX_NEGY_Z	0.000000
FORCE_PLATE_LENGTH	508.000000
FORCE_PLATE_WIDTH	463.550000
Sample	Time	Force_X	Force_Y	Force_Z	Moment_X	Moment_Y	Moment_Z	COP_X	COP_Y	COP_Z
1133	11.32000	0.087255	71.505223	393.941980	-44.161049	-10.978392	0.760160	27.605193	-118.895357	0.000000	
1134	11.33000	0.280285	71.077103	392.363977	-43.923638	-10.811871	0.746804	27.273177	-118.726693	0.000000	
1135	11.34000	0.308751	70.811920	389.383040	-43.640256	-10.709001	0.788786	27.216804	-118.884131	0.000000	
1136	11.35000	0.318601	70.317738	387.543542	-43.421031	-10.652391	0.811749	27.200107	-118.833963	0.000000	
1137	11.36000	0.233801	70.015650	389.392395	-43.770188	-10.656569	0.940134	27.089183	-119.133239	0.000000	
1138	11.37000	0.488148	69.836897	395.370899	-44.622827	-10.784015	1.072222	26.972363	-119.463371	0.000000	
1139	11.38000	0.575253	70.238504	403.618873	-45.796109	-10.567368	1.146345	25.870605	-119.959448	0.000000	
1140	11.39000	0.773136	70.893238	410.806680	-46.766678	-10.229002	1.060246	24.570601	-120.278813	0.000000	
1141	11.40000	1.155264	71.543253	418.696369	-47.811373	-9.727280	0.997798	22.868059	-120.560869	0.000000	
1142	11.41000	1.600413	71.618994	421.674325	-48.187459	-9.209882	0.893934	21.435579	-120.605278	0.000000	
1143	11.42000	2.139684	71.113351	421.587423	-48.207040	-8.689454	0.840475	20.154494	-120.628757	0.000000	
1144	11.43000	2.290959	70.817497	420.619275	-48.161457	-8.305074	0.759129	19.273256	-120.770991	0.000000	
1145	11.44000	2.260674	70.623986	424.215523	-48.510930	-8.163052	0.805139	18.775782	-120.548873	0.000000	
1146	11.45000	2.226622	70.823365	431.400863	-49.383142	-7.596893	0.825421	17.149606	-120.573695	0.000000	
1147	11.46000	1.623249	71.296555	443.122879	-50.889033	-5.977825	0.730439	13.089858	-120.813066	0.000000	
1148	11.47000	0.788927	71.872826	453.261575	-52.180158	-4.710431	0.362567	10.068758	-120.999774	0.000000	
1149	11.48000	0.221248	71.832934	458.151694	-52.856790	-3.920923	0.047800	8.284838	-121.176786	0.000000	
1150	11.49000	0.103215	70.692665	459.200984	-52.949655	-3.410520	-0.043363	7.164094	-121.001869	0.000000	
1151	11.50000	0.670052	69.171357	457.106760	-52.741918	-2.916355	0.031130	6.067462	-120.970897	0.000000	
1152	11.51000	0.678086	67.629929	456.503876	-52.697373	-2.843377	0.071330	5.915246	-120.898774	0.000000	
1153	11.52000	0.358633	66.332339	458.269192	-52.946475	-2.901825	0.212211	6.046872	-120.861735	0.000000	
1154	11.53000	0.210955	65.238289	458.180390	-52.831686	-2.355061	0.369975	4.867635	-120.539314	0.000000	
1155	11.54000	-0.016861	64.493332	455.009722	-52.385565	-1.566423	0.345404	3.190096	-120.336580	0.000000	
1156	11.55000	-0.192260	63.622116	448.676442	-51.553529	-0.663460	0.174256	1.241826	-120.109639	0.000000	
1157	11.56000	-0.148900	62.326791	440.952722	-50.655861	-0.160912	-0.003521	0.124410	-120.068370	0.000000	
1158	11.57000	0.477166	60.982683	432.172845	-49.440332	0.827701	-0.142298	-2.213323	-119.580066	0.000000	
1159	11.58000	1.247554	60.085326	419.364569	-47.783517	1.300496	-0.240959	-3.473969	-119.209986	0.000000	
1160	11.59000	1.208844	59.595424	407.774797	-46.210241	1.725482	-0.219866	-4.603903	-118.704966	0.000000	
1161	11.60000	0.539319	60.092171	400.468282	-45.131461	2.255026	-0.206986	-5.938780	-118.234837	0.000000	
1162	11.61000	-0.096385	61.009096	395.081711	-44.382692	3.283965	-0.269914	-8.556368	-118.050592	0.000000	
1163	11.62000	-0.312118	62.350242	391.365607	-43.862664	4.265318	-0.323582	-11.120686	-117.984016	0.000000	
1164	11.63000	-0.359298	63.865101	389.486198	-43.498618	5.510239	-0.449796	-14.364600	-117.776249	0.000000	
1165	11.64000	0.055070	65.674549	388.320291	-43.352093	6.325163	-0.614473	-16.548186	-117.940081	0.000000	
1166	11.65000	0.775362	67.769656	389.079963	-43.416455	7.430619	-0.846851	-19.431545	-118.089478	0.000000	
1167	11.66000	0.812752	70.722411	392.726358	-43.864533	8.303992	-1.052056	-21.481158	-118.430134	0.000000	
1168	11.67000	0.899767	74.352952	396.451344	-44.213040	9.405969	-1.223344	-24.070085	-118.558043	0.000000	
1169	11.68000	1.180823	78.204389	402.287320	-44.872343	10.322616	-1.377035	-26.031085	-118.852891	0.000000	
1170	11.69000	1.332029	82.947301	412.936253	-46.035832	11.471678	-1.556967	-28.163630	-119.052589	0.000000	
1171	11.70000	1.738131	87.505521	424.733809	-47.472739	12.472946	-1.788484	-29.784006	-119.544908	0.000000	
1172	11.71000	1.810581	91.279608	434.342655	-48.653062	13.303007	-2.002917	-31.048459	-119.954796	0.000000	
1173	11.72000	1.408438	94.088545	441.147545	-49.613501	14.107635	-2.204311	-32.360962	-120.528930	0.000000	
1174	11.73000	0.906531	96.793770	446.025091	-50.289063	14.613931	-2.420734	-33.100024	-120.962831	0.000000	
1175	11.74000	0.735939	99.074486	449.519618	-50.755074	14.518273	-2.391514	-32.616719	-121.258325	0.000000	
1176	11.75000	0.704691	101.665768	453.629552	-51.306432	14.611683	-2.135612	-32.526674	-121.599236	0.000000	
1177	11.76000	0.833047	104.833665	461.686669	-52.397712	14.718528	-1.893296	-32.205998	-122.106999	0.000000	
1178	11.77000	0.944386	108.439699	474.814616	-54.045371	15.269749	-2.008261	-32.492859	-122.491821	0.000000	
1179	11.78000	1.033617	112.619861	486.798212	-55.616655	15.604344	-2.298364	-32.393892	-123.036047	0.000000	
1180	11.79000	1.588210	116.229253	492.559758	-56.245231	15.829015	-2.570462	-32.519060	-123.160447	0.000000	
1181	11.80000	2.338269	118.401101	493.866920	-56.452772	15.774373	-2.748082	-32.383702	-123.429197	0.000000	
1182	11.81000	3.736237	119.852465	493.970884	-56.386999	15.109280	-2.689662	-31.143591	-123.387364	0.000000	
1183	11.82000	5.170968	120.758522	493.382958	-56.341700	14.460770	-2.424465	-29.982168	-123.516499	0.000000	
1184	11.83000	6.024140	121.210406	494.989368	-56.578907	13.517826	-2.216555	-28.049579	-123.629853	0.000000	
1185	11.84000	6.526633	121.015525	495.110947	-56.622295	12.129754	-2.038753	-25.279744	-123.671290	0.000000	
1186	11.85000	6.774509	120.327958	494.718988	-56.683479	10.211515	-1.744038	-21.442160	-123.837780	0.000000	
1187	11.86000	7.897480	118.687684	493.651485	-56.636551	7.946267	-1.240019	-16.990109	-123.878742	0.000000	
1188	11.87000	9.497628	117.296326	492.326373	-56.471307	5.572140	-0.657946	-12.342749	-123.764843	0.000000	
1189	11.88000	11.205953	115.516784	490.740526	-56.289394	3.407388	0.002940	-8.109706	-123.650697	0.000000	
1190	11.89000	12.855174	113.999556	490.890224	-56.281580	1.981445	0.450779	-5.336732	-123.473443	0.000000	
1191	11.90000	13.892030	112.343766	491.552902	-56.411178	0.974402	0.803603	-3.365459	-123.435433	0.000000	
1192	11.91000	14.428281	110.215045	492.556671	-56.402614	0.042323	0.990425	-1.510289	-122.992895	0.000000	
1193	11.92000	13.894424	107.656951	493.641432	-56.668387	-0.764705	1.182011	0.170529	-123.052965	0.000000	
1194	11.93000	13.038584	105.464886	493.567084	-56.523314	-1.184882	1.315904	1.091178	-122.600195	0.000000	
1195	11.94000	11.545140	102.944716	489.179707	-55.820630	-1.180264	1.419597	1.215781	-122.061587	0.000000	
1196	11.95000	10.582311	100.160774	482.172281	-54.660750	-1.473147	1.623247	1.924348	-121.205940	0.000000	
1197	11.96000	10.212104	96.654467	472.197257	-53.364272	-1.673547	1.914430	2.426089	-120.733729	0.000000	
1198	11.97000	10.733121	92.618288	464.161902	-52.159515	-1.819350	2.117553	2.741759	-119.888750	0.000000	
1199	11.98000	10.741568	89.098863	457.428576	-51.256264	-1.647948	2.230437	2.410411	-119.378203	0.000000	
1200	11.99000	9.964649	86.453843	455.763026	-50.900346	-1.407548	2.132161	1.960788	-118.803330	0.000000	
1201	12.00000	8.671431	85.034898	453.643659	-50.489999	-1.057858	2.109381	1.314187	-118.330971	0.000000	
1202	12.01000	7.313132	84.397248	450.564019	-49.821947	-1.445507	2.176318	2.305717	-117.603651	0.000000	
1203	12.02000	6.095756	83.519968	444.155533	-48.714918	-1.929901	2.316616	3.542755	-116.735738	0.000000	
1204	12.03000	5.175402	82.293167	433.718587	-47.175858	-2.600874	2.377947	5.265928	-115.894318	0.000000	
