X [s]	1 Gast Med [V]	2 T Ant [V]	3 R Fem [V]	4 B Fem [V]	
11.420000	-1.211000e-06	-7.991432e-06	-2.240030e-05	1.192949e-06	
11.421000	-1.099310e-05	-4.398036e-06	-4.957076e-05	1.141707e-06	
11.422000	-3.322407e-05	-7.212601e-06	-6.461899e-05	5.553631e-06	
11.423000	-3.164645e-05	1.367324e-06	-4.870888e-05	1.015091e-05	
11.424001	-1.351363e-05	1.583905e-05	-2.870534e-05	1.205678e-05	
11.425001	-6.998748e-06	1.592205e-05	-3.658755e-05	1.225583e-05	
11.426001	-3.353551e-07	9.940056e-06	-3.145193e-05	9.082133e-06	
11.427001	1.554279e-06	7.891358e-06	1.364715e-05	1.041161e-05	
11.428001	-2.785227e-07	3.711700e-06	4.013574e-05	1.197920e-05	
11.429001	5.364798e-06	-9.130290e-07	1.699581e-05	6.008430e-06	
11.430001	6.980908e-06	9.633810e-07	1.334569e-06	1.461951e-06	
11.431002	4.908727e-06	1.231084e-06	1.070506e-05	-1.079320e-06	
11.432002	5.264658e-06	-3.360999e-06	8.624540e-06	-4.139171e-06	
11.433002	5.305061e-06	-4.206369e-06	-1.780118e-06	-6.124694e-06	
11.434002	4.859640e-06	-1.907897e-06	-8.509705e-06	-1.076862e-05	
11.435002	2.209417e-06	-2.422062e-06	-1.826722e-05	-1.312473e-05	
11.436002	4.545797e-07	-3.054069e-06	-3.935928e-05	-1.541928e-05	
11.437003	8.590946e-07	-2.078480e-06	-6.290975e-05	-2.085678e-05	
11.438003	-7.918122e-07	-4.145254e-06	-6.835917e-05	-2.051594e-05	
11.439003	1.505184e-07	-4.725042e-06	-6.208704e-05	-2.164552e-05	
11.440003	1.069775e-06	-2.735011e-06	-4.934626e-05	-2.284364e-05	
11.441003	-1.055339e-06	1.406279e-07	-2.972279e-05	-1.551822e-05	
11.442003	4.672122e-08	5.470838e-06	-1.510516e-05	-1.029503e-05	
11.443003	-3.735290e-07	1.816763e-06	-2.044941e-06	-9.630515e-06	
11.444004	-1.852530e-06	-3.225048e-06	1.264853e-05	-8.192045e-06	
11.445004	3.528444e-07	3.215414e-07	2.143135e-05	-4.199687e-06	
11.446004	1.186820e-06	-1.545467e-06	2.191675e-05	2.062573e-06	
11.447004	-1.008142e-06	1.241444e-06	3.124575e-05	1.309165e-05	
11.448004	-2.050014e-06	8.939526e-06	5.109635e-05	2.374093e-05	
11.449004	9.487765e-07	2.781274e-06	5.567677e-05	2.231713e-05	
11.450004	1.487163e-06	-1.261040e-06	5.646702e-05	2.647005e-05	
11.451005	-2.788395e-07	5.336721e-07	5.623204e-05	3.844777e-05	
11.452005	3.282950e-06	-3.375789e-06	3.945308e-05	3.261658e-05	
11.453005	4.372948e-06	5.655295e-07	2.460321e-05	1.971161e-05	
11.454005	2.278763e-06	7.325107e-06	7.629787e-06	1.232339e-05	
11.455005	4.734208e-06	2.329582e-06	-1.229053e-05	4.758705e-06	
11.456005	3.872885e-06	-3.069399e-06	-5.120092e-06	-3.253553e-07	
11.457006	-8.447161e-07	-1.589499e-06	1.570493e-05	-3.817582e-06	
11.458006	-3.119754e-06	6.560577e-07	2.316747e-05	-4.688464e-06	
11.459006	-4.355280e-06	-2.592367e-06	2.281228e-05	-4.784477e-06	
11.460006	-4.415429e-06	-9.340594e-06	1.414966e-05	-1.091907e-05	
11.461006	-7.814382e-06	-2.112669e-05	-4.500234e-06	-1.580640e-05	
11.462006	-9.246490e-06	-3.666359e-05	-2.065847e-05	-1.503221e-05	
11.463006	-1.183054e-06	-3.468246e-05	-2.829617e-05	-1.520652e-05	
11.464007	2.480190e-06	-1.534254e-05	-3.108982e-05	-1.467832e-05	
11.465007	2.746988e-06	1.489987e-05	-3.109342e-05	-1.164704e-05	
11.466007	7.791120e-06	4.060831e-05	-2.563479e-05	-9.692638e-06	
11.467007	6.379055e-06	3.666605e-05	-1.842735e-05	-6.022122e-06	
11.468007	-1.698203e-07	4.359778e-05	-1.329749e-05	-1.323904e-06	
11.469007	-2.665641e-06	4.359025e-05	-1.092141e-05	1.794968e-06	
11.470007	-3.042799e-06	-1.197448e-05	-1.366393e-05	4.889661e-06	
11.471008	-1.615202e-06	-3.248293e-05	-1.340073e-05	4.967768e-06	
11.472008	4.194533e-07	9.856838e-07	-9.970593e-06	4.998404e-06	
11.473008	-7.022633e-07	9.560268e-06	-9.875504e-06	7.511021e-06	
11.474008	-1.708593e-06	3.000432e-06	-3.249518e-06	8.074886e-06	
11.475008	-7.179539e-07	-7.345523e-07	9.016021e-06	7.397250e-06	
11.476008	-3.556876e-08	-5.726284e-06	1.185336e-05	3.685675e-06	
11.477009	5.843245e-07	-6.791427e-06	4.746969e-06	-1.077077e-06	
11.478009	-1.236394e-07	-5.893933e-06	-1.847924e-06	-2.703058e-06	
11.479009	7.699208e-08	-2.928436e-06	-3.077479e-06	-4.778607e-06	
11.480009	1.823137e-06	-2.698796e-06	-1.841473e-06	-5.627808e-06	
11.481009	-1.496612e-06	-5.507975e-06	-2.353243e-06	-4.185260e-06	
11.482009	-4.692970e-06	-9.369543e-06	-3.718167e-06	-1.314387e-06	
11.483009	-6.713969e-07	-1.464698e-05	-1.303520e-06	9.005659e-07	
11.484010	4.192425e-06	-1.228847e-05	4.606552e-06	-2.526811e-06	
11.485010	5.255050e-06	-4.719875e-06	8.541644e-06	-4.077983e-06	
11.486010	3.154864e-06	-3.065396e-06	5.933903e-06	-1.449849e-06	
11.487010	3.430152e-06	2.910943e-06	2.865492e-06	-3.258911e-07	
11.488010	7.064764e-06	1.179645e-05	8.134701e-06	1.134956e-06	
11.489010	4.925531e-06	5.499194e-06	1.282110e-05	2.429532e-06	
11.490010	8.599090e-07	6.842962e-07	9.046083e-06	5.778811e-06	
11.491011	2.607736e-06	8.169745e-06	6.163979e-06	7.448301e-06	
11.492011	1.600123e-06	9.067988e-06	5.769039e-06	3.288233e-06	
11.493011	-5.386154e-06	2.423667e-06	1.668517e-06	3.102242e-06	
11.494011	-7.402837e-06	-1.649772e-06	3.338157e-07	5.376092e-06	
11.495011	-4.051697e-06	-6.294947e-08	4.086130e-06	4.280264e-06	
11.496011	-2.181171e-06	4.519254e-07	3.473496e-06	5.482601e-06	
11.497012	-1.957445e-06	-3.668271e-06	-9.392856e-07	7.086954e-06	
11.498012	-5.528594e-06	-4.577450e-06	-1.876103e-06	4.056684e-06	
11.499012	-6.437657e-06	-3.788991e-06	-1.192292e-06	2.688196e-06	
11.500012	-1.466716e-06	-4.956086e-06	-3.283997e-06	1.309571e-06	
11.501012	-1.289296e-06	-4.788522e-06	-4.121641e-06	-4.061415e-06	
11.502012	-7.373356e-07	2.791724e-06	-1.074390e-06	-5.824447e-06	
11.503012	3.501728e-06	1.274223e-05	7.334464e-07	-5.973986e-06	
11.504013	1.778144e-06	8.309022e-06	-1.315188e-06	-6.060010e-06	
11.505013	-1.323075e-06	-4.103517e-07	-2.497608e-06	-4.970705e-06	
11.506013	-1.734040e-07	1.659349e-06	-8.730081e-07	-6.378948e-06	
11.507013	1.127410e-07	4.264202e-06	1.495292e-07	-4.512776e-06	
11.508013	-9.528790e-08	2.749930e-06	1.236916e-06	-2.286403e-06	
11.509013	1.151522e-06	1.002083e-06	-1.673651e-06	-4.869867e-06	
11.510013	9.274274e-07	-1.531919e-06	-4.818012e-06	-5.174610e-06	
11.511014	2.258474e-07	-3.020262e-06	-3.822745e-07	-4.690526e-06	
11.512014	-3.912239e-07	-4.969620e-07	-1.712122e-06	-1.999698e-06	
11.513014	-1.234041e-06	-2.047022e-07	-3.447246e-06	3.212761e-06	
11.514014	3.715563e-09	8.222951e-08	6.843758e-07	1.254791e-06	
11.515014	3.100683e-06	5.016553e-06	-2.810732e-06	-1.357557e-06	
11.516014	4.834890e-06	5.619561e-06	-3.930000e-06	-2.451159e-06	
11.517015	3.402179e-06	4.331186e-06	-6.584283e-06	-6.921513e-06	
11.518015	3.617462e-06	1.835388e-06	-1.100757e-05	-4.672678e-06	
11.519015	4.259837e-06	1.271143e-06	1.013901e-07	1.618534e-06	
11.520015	1.929027e-06	2.860035e-07	5.269602e-06	3.847461e-06	
11.521015	1.363340e-06	-9.386774e-06	3.224799e-07	2.810090e-06	
11.522015	4.895808e-07	-1.212478e-06	2.053739e-06	-3.844539e-06	
11.523015	-9.870383e-07	4.561065e-06	3.849001e-06	-9.309091e-06	
11.524016	-1.582482e-06	-1.584170e-05	3.219613e-06	-6.025486e-06	
11.525016	-4.182144e-06	-1.885608e-05	2.540360e-07	3.455518e-07	
11.526016	-5.796213e-06	-3.066374e-05	-2.826506e-07	5.457794e-06	
11.527016	-6.144395e-06	-5.862772e-05	5.385959e-06	1.080423e-05	
11.528016	-4.489845e-06	-3.042317e-05	5.892237e-06	1.345133e-05	
11.529016	-1.609016e-06	1.357221e-05	1.623359e-06	1.072841e-05	
11.530016	-2.911111e-06	1.116255e-05	2.179234e-06	6.214555e-06	
11.531017	-3.439471e-06	-2.488468e-06	3.862270e-06	3.140014e-06	
11.532017	-1.872790e-06	-7.594237e-06	3.975051e-06	4.900477e-06	
11.533017	5.363264e-07	1.679348e-05	6.544712e-06	1.061419e-05	
11.534017	4.043443e-06	6.723390e-05	1.132776e-05	1.452353e-05	
11.535017	4.060720e-06	8.112258e-05	1.754447e-05	1.297595e-05	
11.536017	7.289140e-06	6.088626e-05	2.179129e-05	4.160966e-06	
11.537018	1.112109e-05	2.655887e-05	1.751836e-05	-7.322868e-06	
11.538018	8.664031e-06	-7.408811e-07	9.617690e-06	-1.261051e-05	
11.539018	4.626010e-06	5.957450e-06	6.366707e-06	-1.010478e-05	
11.540018	-6.434427e-07	9.975414e-06	1.047536e-06	-6.008457e-06	
11.541018	-8.733420e-07	1.615395e-05	-1.045497e-05	-6.419633e-06	
11.542018	-1.305823e-06	6.577347e-06	-2.376391e-05	-1.509104e-05	
11.543018	-5.083239e-06	-4.595083e-05	-3.570315e-05	-2.203187e-05	
11.544019	-2.958416e-06	-6.703488e-05	-3.775101e-05	-9.040018e-06	
11.545019	-4.421919e-06	-6.843744e-05	-3.279356e-05	1.355264e-05	
11.546019	-6.564430e-06	-6.755364e-05	-2.991006e-05	2.649383e-05	
11.547019	-9.175823e-08	-6.522122e-06	-2.473150e-05	3.227374e-05	
11.548019	6.957763e-06	5.681308e-05	-2.076430e-05	2.565585e-05	
11.549019	6.635995e-06	4.165801e-05	-1.935296e-05	7.535410e-06	
11.550019	-3.709454e-06	-2.277475e-05	-8.423937e-06	-1.861137e-06	
11.551020	-9.584191e-06	-5.542870e-05	3.599033e-06	-3.477954e-06	
11.552020	-4.320194e-06	-2.692653e-05	6.817239e-06	-5.816498e-06	
11.553020	-1.932145e-06	-1.399897e-05	1.291238e-05	-1.252697e-05	
11.554020	-4.052264e-06	-7.354674e-05	1.947321e-05	-2.550295e-05	
11.555020	-9.195222e-06	-1.026860e-04	2.128557e-05	-3.028936e-05	
11.556020	-1.461980e-05	-3.850290e-05	2.457297e-05	-2.558905e-05	
11.557021	-8.459624e-06	1.173040e-05	2.542733e-05	-2.249444e-05	
11.558021	2.847105e-06	4.120741e-05	2.344950e-05	-2.034151e-05	
11.559021	7.435024e-06	8.576099e-05	2.113418e-05	-1.545380e-05	
11.560021	1.089460e-05	1.151724e-04	1.682891e-05	-5.296201e-06	
11.561021	1.430330e-05	1.442928e-04	1.337669e-05	1.036196e-06	
11.562021	1.201229e-05	1.182246e-04	1.143217e-05	4.005197e-06	
