X [s]	1 Gast Med [V]	2 T Ant [V]	3 R Fem [V]	4 B Fem [V]	
21.860000	2.509634e-06	4.052083e-05	5.207517e-06	3.864139e-06	
21.861001	2.587851e-06	4.134576e-05	5.210835e-06	3.937688e-06	
21.862002	2.668484e-06	4.215241e-05	5.218080e-06	4.012006e-06	
21.863003	2.751175e-06	4.293908e-05	5.229398e-06	4.086773e-06	
21.864004	2.835570e-06	4.370407e-05	5.244939e-06	4.161670e-06	
21.865004	2.921311e-06	4.444569e-05	5.264849e-06	4.236377e-06	
21.866005	3.008044e-06	4.516222e-05	5.289276e-06	4.310577e-06	
21.867006	3.095412e-06	4.585198e-05	5.318367e-06	4.383950e-06	
21.868007	3.183060e-06	4.651327e-05	5.352272e-06	4.456177e-06	
21.869008	3.270632e-06	4.714438e-05	5.391136e-06	4.526938e-06	
21.870009	3.357772e-06	4.774363e-05	5.435109e-06	4.595916e-06	
21.871010	3.444125e-06	4.830930e-05	5.484337e-06	4.662791e-06	
21.872011	3.529333e-06	4.883971e-05	5.538968e-06	4.727244e-06	
21.873011	3.613043e-06	4.933315e-05	5.599150e-06	4.788955e-06	
21.874012	3.694897e-06	4.978792e-05	5.665031e-06	4.847607e-06	
21.875013	3.774548e-06	5.020239e-05	5.736748e-06	4.902889e-06	
21.876014	3.851823e-06	5.057614e-05	5.814237e-06	4.954690e-06	
21.877015	3.926722e-06	5.090996e-05	5.897233e-06	5.003094e-06	
21.878016	3.999252e-06	5.120471e-05	5.985460e-06	5.048193e-06	
21.879017	4.069419e-06	5.146122e-05	6.078646e-06	5.090080e-06	
21.880018	4.137230e-06	5.168035e-05	6.176517e-06	5.128847e-06	
21.881018	4.202691e-06	5.186293e-05	6.278799e-06	5.164585e-06	
21.882019	4.265810e-06	5.200982e-05	6.385218e-06	5.197388e-06	
21.883020	4.326592e-06	5.212186e-05	6.495500e-06	5.227348e-06	
21.884021	4.385044e-06	5.219989e-05	6.609372e-06	5.254556e-06	
21.885022	4.441174e-06	5.224476e-05	6.726560e-06	5.279105e-06	
21.886023	4.494987e-06	5.225732e-05	6.846790e-06	5.301087e-06	
21.887024	4.546491e-06	5.223841e-05	6.969789e-06	5.320595e-06	
21.888025	4.595692e-06	5.218888e-05	7.095282e-06	5.337720e-06	
21.889025	4.642596e-06	5.210957e-05	7.222996e-06	5.352555e-06	
21.890026	4.687210e-06	5.200133e-05	7.352657e-06	5.365191e-06	
21.891027	4.729542e-06	5.186501e-05	7.483992e-06	5.375723e-06	
21.892028	4.769597e-06	5.170144e-05	7.616725e-06	5.384240e-06	
21.893029	4.807382e-06	5.151148e-05	7.750585e-06	5.390837e-06	
21.894030	4.842904e-06	5.129597e-05	7.885297e-06	5.395604e-06	
21.895031	4.876169e-06	5.105575e-05	8.020587e-06	5.398634e-06	
21.896032	4.907185e-06	5.079168e-05	8.156181e-06	5.400020e-06	
21.897032	4.935957e-06	5.050460e-05	8.291807e-06	5.399853e-06	
21.898033	4.962493e-06	5.019535e-05	8.427189e-06	5.398227e-06	
21.899034	4.986798e-06	4.986477e-05	8.562054e-06	5.395232e-06	
21.900035	5.008881e-06	4.951373e-05	8.696129e-06	5.390961e-06	
21.901036	5.028746e-06	4.914305e-05	8.829139e-06	5.385507e-06	
21.902037	5.046402e-06	4.875358e-05	8.960811e-06	5.378962e-06	
21.903038	5.061854e-06	4.834618e-05	9.090872e-06	5.371418e-06	
21.904039	5.075110e-06	4.792169e-05	9.219046e-06	5.362966e-06	
21.905040	5.086175e-06	4.748094e-05	9.345062e-06	5.353700e-06	
21.906040	5.095057e-06	4.702480e-05	9.468644e-06	5.343712e-06	
21.907041	5.101763e-06	4.655409e-05	9.589519e-06	5.333094e-06	
21.908042	5.106298e-06	4.606968e-05	9.707413e-06	5.321937e-06	
21.909043	5.108669e-06	4.557240e-05	9.822053e-06	5.310335e-06	
21.910044	5.108884e-06	4.506310e-05	9.933164e-06	5.298380e-06	
21.911045	5.106948e-06	4.454262e-05	1.004047e-05	5.286163e-06	
21.912046	5.102869e-06	4.401182e-05	1.014371e-05	5.273777e-06	
21.913047	5.096653e-06	4.347153e-05	1.024259e-05	5.261314e-06	
21.914047	5.088306e-06	4.292261e-05	1.033685e-05	5.248866e-06	
21.915048	5.077836e-06	4.236589e-05	1.042622e-05	5.236527e-06	
21.916049	5.065249e-06	4.180223e-05	1.051041e-05	5.224387e-06	
21.917050	5.050551e-06	4.123247e-05	1.058916e-05	5.212539e-06	
21.918051	5.033750e-06	4.065745e-05	1.066219e-05	5.201075e-06	
21.919052	5.014851e-06	4.007802e-05	1.072922e-05	5.190088e-06	
21.920053	4.993862e-06	3.949502e-05	1.079000e-05	5.179670e-06	
