NO_OF_SAMPLES	689
FREQUENCY	100
TIME_STAMP	2020-11-06, 17:38:20	197478.89455217
FIRST_SAMPLE	1133
DESCRIPTION	Force data in local (force plate) coordinates
DATA_INCLUDED	Force
FORCE_PLATE_TYPE	Amti
FORCE_PLATE_MODEL	Unknown
FORCE_PLATE_NAME	Force-plate 1
FORCE_PLATE_CORNER_POSX_POSY_X	-88.329201
FORCE_PLATE_CORNER_POSX_POSY_Y	573.721008
FORCE_PLATE_CORNER_POSX_POSY_Z	0.000000
FORCE_PLATE_CORNER_NEGX_POSY_X	-89.185501
FORCE_PLATE_CORNER_NEGX_POSY_Y	115.864998
FORCE_PLATE_CORNER_NEGX_POSY_Z	0.000000
FORCE_PLATE_CORNER_NEGX_NEGY_X	-592.245972
FORCE_PLATE_CORNER_NEGX_NEGY_Y	113.574997
FORCE_PLATE_CORNER_NEGX_NEGY_Z	0.000000
FORCE_PLATE_CORNER_POSX_NEGY_X	-594.474976
FORCE_PLATE_CORNER_POSX_NEGY_Y	572.864990
FORCE_PLATE_CORNER_POSX_NEGY_Z	0.000000
FORCE_PLATE_LENGTH	508.000000
FORCE_PLATE_WIDTH	463.550000
Sample	Time	Force_X	Force_Y	Force_Z	Moment_X	Moment_Y	Moment_Z	COP_X	COP_Y	COP_Z
1133	11.32000	-7.665658	-75.005938	241.192657	-2.231666	14.106354	6.518337	-57.347409	2.818874	0.000000	
1134	11.33000	-11.681923	-71.816142	250.522232	-1.878491	12.679463	6.797151	-48.870655	3.585714	0.000000	
1135	11.34000	-12.034097	-77.818196	255.238562	-2.281601	11.574718	6.001346	-43.586113	2.884857	0.000000	
1136	11.35000	-9.407129	-90.227873	255.169010	-3.151478	10.782770	4.454507	-40.912457	1.451989	0.000000	
1137	11.36000	-8.295982	-99.854738	247.959583	-3.766270	10.895858	3.002315	-42.735632	0.607885	0.000000	
1138	11.37000	-6.161104	-104.548778	245.097935	-4.102660	10.538686	1.964991	-42.129314	0.026873	0.000000	
1139	11.38000	-6.427483	-108.540803	249.640447	-4.472519	9.271254	1.005450	-36.245128	-0.815879	0.000000	
1140	11.39000	-8.495924	-111.488821	264.760279	-4.900590	6.531742	0.403620	-23.519513	-1.965793	0.000000	
1141	11.40000	-7.405023	-117.900652	273.441117	-5.417517	4.675872	-0.186975	-16.152628	-2.859220	0.000000	
1142	11.41000	-4.581730	-127.322428	278.844898	-5.910093	3.140287	-0.571089	-10.746828	-3.208816	0.000000	
1143	11.42000	-2.027092	-135.582289	288.061069	-6.410048	1.475998	-0.724710	-4.990502	-3.695037	0.000000	
1144	11.43000	2.297515	-144.225839	296.958505	-6.862132	0.602264	-0.946352	-2.494735	-3.941283	0.000000	
1145	11.44000	5.275952	-150.064282	306.841989	-7.184415	-0.174003	-1.077505	-0.283666	-4.109859	0.000000	
1146	11.45000	6.657581	-154.192032	319.571994	-7.365998	-0.689474	-1.376006	1.158976	-4.012012	0.000000	
1147	11.46000	5.873824	-156.543251	333.547153	-7.541709	-1.135799	-1.849569	2.537582	-4.107827	0.000000	
1148	11.47000	4.151334	-157.707674	341.926886	-7.545005	-1.798749	-2.306830	4.615124	-3.892177	0.000000	
1149	11.48000	1.808351	-158.756919	344.440960	-7.456146	-2.713833	-2.950662	7.513319	-3.486144	0.000000	
1150	11.49000	-0.356594	-159.691782	341.012750	-7.361155	-3.736387	-3.552696	10.846808	-3.125676	0.000000	
1151	11.50000	-1.705964	-159.483330	333.324798	-7.193938	-5.055801	-4.053409	15.223259	-2.708614	0.000000	
1152	11.51000	-1.195540	-158.014492	321.659179	-6.884358	-6.344291	-4.473073	19.722198	-2.009597	0.000000	
1153	11.52000	-0.552441	-154.925157	307.611198	-6.512854	-7.560143	-4.758698	24.497485	-1.276038	0.000000	
1154	11.53000	2.537178	-147.081447	295.285329	-6.016655	-8.628241	-5.159552	28.718640	-0.704425	0.000000	
