X [s]	1 Gast Med [V]	2 T Ant [V]	3 R Fem [V]	4 B Fem [V]	
11.420000	8.219175e-06	4.582960e-06	4.787860e-05	9.805302e-06	
11.421000	8.248483e-06	4.701502e-06	4.805316e-05	9.899783e-06	
11.422000	8.271175e-06	4.825804e-06	4.818431e-05	9.992568e-06	
11.423000	8.287024e-06	4.955909e-06	4.827009e-05	1.008354e-05	
11.424001	8.295802e-06	5.091857e-06	4.830855e-05	1.017257e-05	
11.425001	8.297289e-06	5.233685e-06	4.829780e-05	1.025954e-05	
11.426001	8.291485e-06	5.381328e-06	4.823764e-05	1.034437e-05	
11.427001	8.278610e-06	5.534614e-06	4.812958e-05	1.042700e-05	
11.428001	8.258896e-06	5.693367e-06	4.797519e-05	1.050738e-05	
11.429001	8.232576e-06	5.857411e-06	4.777608e-05	1.058544e-05	
11.430001	8.199880e-06	6.026571e-06	4.753383e-05	1.066115e-05	
11.431002	8.161041e-06	6.200671e-06	4.725001e-05	1.073444e-05	
11.432002	8.116289e-06	6.379534e-06	4.692623e-05	1.080525e-05	
11.433002	8.065857e-06	6.562985e-06	4.656406e-05	1.087354e-05	
11.434002	8.009976e-06	6.750848e-06	4.616510e-05	1.093926e-05	
11.435002	7.948877e-06	6.942946e-06	4.573093e-05	1.100234e-05	
11.436002	7.882793e-06	7.139104e-06	4.526313e-05	1.106273e-05	
11.437003	7.811955e-06	7.339146e-06	4.476330e-05	1.112038e-05	
11.438003	7.736594e-06	7.542897e-06	4.423302e-05	1.117524e-05	
11.439003	7.656942e-06	7.750179e-06	4.367388e-05	1.122724e-05	
11.440003	7.573232e-06	7.960818e-06	4.308746e-05	1.127635e-05	
11.441003	7.485693e-06	8.174636e-06	4.247535e-05	1.132249e-05	
11.442003	7.394559e-06	8.391459e-06	4.183914e-05	1.136563e-05	
11.443003	7.300060e-06	8.611111e-06	4.118042e-05	1.140569e-05	
11.444004	7.202428e-06	8.833415e-06	4.050077e-05	1.144264e-05	
11.445004	7.101895e-06	9.058195e-06	3.980177e-05	1.147642e-05	
11.446004	6.998693e-06	9.285276e-06	3.908502e-05	1.150696e-05	
11.447004	6.893053e-06	9.514482e-06	3.835211e-05	1.153423e-05	
11.448004	6.785206e-06	9.745636e-06	3.760461e-05	1.155815e-05	
11.449004	6.675385e-06	9.978564e-06	3.684412e-05	1.157869e-05	
11.450004	6.563821e-06	1.021309e-05	3.607223e-05	1.159578e-05	
11.451005	6.450745e-06	1.044903e-05	3.529051e-05	1.160937e-05	
11.452005	6.336389e-06	1.068622e-05	3.450056e-05	1.161941e-05	
11.453005	6.220985e-06	1.092448e-05	3.370396e-05	1.162585e-05	
11.454005	6.104765e-06	1.116363e-05	3.290230e-05	1.162862e-05	
11.455005	5.987959e-06	1.140350e-05	3.209717e-05	1.162768e-05	
11.456005	5.870800e-06	1.164391e-05	3.129016e-05	1.162297e-05	
11.457006	5.753520e-06	1.188469e-05	3.048284e-05	1.161443e-05	
11.458006	5.636349e-06	1.212566e-05	2.967682e-05	1.160202e-05	
11.459006	5.519519e-06	1.236664e-05	2.887366e-05	1.158568e-05	
11.460006	5.403263e-06	1.260745e-05	2.807497e-05	1.156535e-05	
11.461006	5.287811e-06	1.284793e-05	2.728233e-05	1.154098e-05	
11.462006	5.173396e-06	1.308790e-05	2.649732e-05	1.151251e-05	
11.463006	5.060249e-06	1.332717e-05	2.572153e-05	1.147990e-05	
11.464007	4.948601e-06	1.356558e-05	2.495655e-05	1.144309e-05	
11.465007	4.838684e-06	1.380294e-05	2.420397e-05	1.140202e-05	
11.466007	4.730730e-06	1.403909e-05	2.346537e-05	1.135664e-05	
11.467007	4.624971e-06	1.427385e-05	2.274234e-05	1.130690e-05	
11.468007	4.521637e-06	1.450703e-05	2.203646e-05	1.125274e-05	
11.469007	4.420961e-06	1.473847e-05	2.134933e-05	1.119410e-05	
11.470007	4.323174e-06	1.496799e-05	2.068253e-05	1.113094e-05	
11.471008	4.228508e-06	1.519540e-05	2.003764e-05	1.106320e-05	
11.472008	4.137195e-06	1.542055e-05	1.941626e-05	1.099082e-05	
11.473008	4.049465e-06	1.564325e-05	1.881997e-05	1.091376e-05	
11.474008	3.965552e-06	1.586332e-05	1.825035e-05	1.083195e-05	
11.475008	3.885679e-06	1.608060e-05	1.770895e-05	1.074536e-05	
11.476008	3.809933e-06	1.629515e-05	1.719623e-05	1.065419e-05	
11.477009	3.738259e-06	1.650728e-05	1.671154e-05	1.055891e-05	
11.478009	3.670596e-06	1.671728e-05	1.625422e-05	1.046001e-05	
11.479009	3.606881e-06	1.692548e-05	1.582359e-05	1.035795e-05	
11.480009	3.547055e-06	1.713216e-05	1.541896e-05	1.025322e-05	
11.481009	3.491056e-06	1.733766e-05	1.503966e-05	1.014630e-05	
11.482009	3.438823e-06	1.754226e-05	1.468502e-05	1.003767e-05	
11.483009	3.390294e-06	1.774629e-05	1.435435e-05	9.927791e-06	
11.484010	3.345409e-06	1.795004e-05	1.404697e-05	9.817158e-06	
11.485010	3.304107e-06	1.815382e-05	1.376221e-05	9.706244e-06	
11.486010	3.266326e-06	1.835795e-05	1.349939e-05	9.595528e-06	
11.487010	3.232005e-06	1.856273e-05	1.325782e-05	9.485489e-06	
11.488010	3.201083e-06	1.876847e-05	1.303685e-05	9.376603e-06	
11.489010	3.173498e-06	1.897547e-05	1.283577e-05	9.269350e-06	
11.490010	3.149191e-06	1.918405e-05	1.265392e-05	9.164209e-06	
11.491011	3.128099e-06	1.939451e-05	1.249062e-05	9.061656e-06	
11.492011	3.110161e-06	1.960716e-05	1.234519e-05	8.962172e-06	
11.493011	3.095317e-06	1.982231e-05	1.221695e-05	8.866233e-06	
11.494011	3.083504e-06	2.004026e-05	1.210523e-05	8.774319e-06	
11.495011	3.074663e-06	2.026133e-05	1.200934e-05	8.686907e-06	
11.496011	3.068731e-06	2.048582e-05	1.192860e-05	8.604476e-06	
11.497012	3.065648e-06	2.071404e-05	1.186235e-05	8.527505e-06	
11.498012	3.065353e-06	2.094629e-05	1.180990e-05	8.456471e-06	
11.499012	3.067783e-06	2.118289e-05	1.177057e-05	8.391854e-06	
11.500012	3.072879e-06	2.142415e-05	1.174368e-05	8.334130e-06	
11.501012	3.080579e-06	2.167036e-05	1.172856e-05	8.283779e-06	
11.502012	3.090822e-06	2.192184e-05	1.172453e-05	8.241279e-06	
11.503012	3.103546e-06	2.217890e-05	1.173091e-05	8.207108e-06	
11.504013	3.118691e-06	2.244185e-05	1.174702e-05	8.181745e-06	
