NO_OF_SAMPLES	441
FREQUENCY	100
TIME_STAMP	2020-11-06, 17:06:58	195597.16557433
FIRST_SAMPLE	544
DESCRIPTION	Force data in local (force plate) coordinates
DATA_INCLUDED	Force
FORCE_PLATE_TYPE	Amti
FORCE_PLATE_MODEL	Unknown
FORCE_PLATE_NAME	Force-plate 3
FORCE_PLATE_CORNER_POSX_POSY_X	1137.770020
FORCE_PLATE_CORNER_POSX_POSY_Y	573.268982
FORCE_PLATE_CORNER_POSX_POSY_Z	0.000000
FORCE_PLATE_CORNER_NEGX_POSY_X	1133.949951
FORCE_PLATE_CORNER_NEGX_POSY_Y	114.096001
FORCE_PLATE_CORNER_NEGX_POSY_Z	0.000000
FORCE_PLATE_CORNER_NEGX_NEGY_X	630.994019
FORCE_PLATE_CORNER_NEGX_NEGY_Y	120.760002
FORCE_PLATE_CORNER_NEGX_NEGY_Z	0.000000
FORCE_PLATE_CORNER_POSX_NEGY_X	631.823975
FORCE_PLATE_CORNER_POSX_NEGY_Y	581.182007
FORCE_PLATE_CORNER_POSX_NEGY_Z	0.000000
FORCE_PLATE_LENGTH	508.000000
FORCE_PLATE_WIDTH	463.550000
Sample	Time	Force_X	Force_Y	Force_Z	Moment_X	Moment_Y	Moment_Z	COP_X	COP_Y	COP_Z
544	5.43000	0.645708	1.178279	3.187951	0.429724	0.261387	0.183643	0.000000	0.000000	0.000000	
545	5.44000	0.602344	1.177634	3.624503	0.466061	0.270691	0.179002	0.000000	0.000000	0.000000	
546	5.45000	0.625579	1.245425	3.625373	0.429539	0.252117	0.188210	0.000000	0.000000	0.000000	
547	5.46000	0.740449	1.244188	3.889274	0.393087	0.270254	0.165241	0.000000	0.000000	0.000000	
548	5.47000	0.692083	1.109106	3.538053	0.474997	0.298105	0.188269	0.000000	0.000000	0.000000	
549	5.48000	0.692340	1.086959	3.539426	0.420699	0.243183	0.160396	0.000000	0.000000	0.000000	
550	5.49000	0.694915	1.198662	3.976146	0.429284	0.288577	0.183664	0.000000	0.000000	0.000000	
551	5.50000	0.806885	1.176624	3.627837	0.393244	0.261258	0.160566	0.000000	0.000000	0.000000	
552	5.51000	0.601113	1.178004	3.363092	0.420454	0.252059	0.192785	0.000000	0.000000	0.000000	
553	5.52000	0.738322	1.199287	3.538673	0.393108	0.306821	0.165409	0.000000	0.000000	0.000000	
554	5.53000	0.694786	1.176307	3.976875	0.447496	0.252117	0.197285	0.000000	0.000000	0.000000	
555	5.54000	0.646379	1.155240	3.363527	0.429614	0.252183	0.188155	0.000000	0.000000	0.000000	
556	5.55000	0.624900	1.154531	3.626183	0.411216	0.261091	0.188159	0.000000	0.000000	0.000000	
557	5.56000	0.737658	1.200429	3.364499	0.420652	0.233991	0.178918	0.000000	0.000000	0.000000	
558	5.57000	0.670484	1.199163	3.626200	0.392810	0.297427	0.192976	0.000000	0.000000	0.000000	
559	5.58000	0.693324	1.199883	3.626516	0.447693	0.243086	0.197324	0.000000	0.000000	0.000000	
560	5.59000	0.602678	1.222663	3.625039	0.420397	0.270315	0.183665	0.000000	0.000000	0.000000	
561	5.60000	0.739324	1.108102	3.890176	0.420209	0.270298	0.183503	0.000000	0.000000	0.000000	
562	5.61000	0.739942	1.063005	4.064757	0.475078	0.252530	0.169523	0.000000	0.000000	0.000000	
563	5.62000	0.783086	1.063174	3.628154	0.438455	0.270443	0.192699	0.000000	0.000000	0.000000	
564	5.63000	0.626297	1.176704	3.888472	0.429362	0.261166	0.188137	0.000000	0.000000	0.000000	
565	5.64000	0.649074	1.176829	3.889267	0.429396	0.233775	0.192620	0.000000	0.000000	0.000000	
566	5.65000	0.671925	1.199020	3.889347	0.392907	0.260950	0.183567	0.000000	0.000000	0.000000	
567	5.66000	0.760859	1.086935	3.628244	0.466181	0.197745	0.183187	0.000000	0.000000	0.000000	
568	5.67000	0.739811	1.153653	3.890893	0.392965	0.233611	0.183398	0.000000	0.000000	0.000000	
569	5.68000	0.783263	1.064028	3.628507	0.484244	0.206901	0.197009	0.000000	0.000000	0.000000	
570	5.69000	0.670680	1.154191	3.714082	0.429374	0.261190	0.192744	0.000000	0.000000	0.000000	
571	5.70000	0.692432	1.177565	3.451433	0.420551	0.252189	0.178960	0.000000	0.000000	0.000000	
572	5.71000	0.738653	1.108939	3.716468	0.411216	0.206313	0.197062	0.000000	0.000000	0.000000	
573	5.72000	0.782661	1.040677	3.541351	0.393029	0.261107	0.178849	0.000000	0.000000	0.000000	
574	5.73000	0.669127	1.177480	3.363681	0.420336	0.270296	0.197469	0.000000	0.000000	0.000000	
575	5.74000	0.737414	1.177492	3.363885	0.420625	0.270547	0.169848	0.000000	0.000000	0.000000	
576	5.75000	0.647938	1.199822	3.626362	0.411213	0.251948	0.192770	0.000000	0.000000	0.000000	
577	5.76000	0.740149	1.221701	3.889786	0.438451	0.242974	0.197309	0.000000	0.000000	0.000000	
578	5.77000	0.740370	1.244570	3.889520	0.447667	0.233961	0.192687	0.000000	0.000000	0.000000	
579	5.78000	0.740025	1.107961	4.064810	0.483848	0.261468	0.201834	0.000000	0.000000	0.000000	
580	5.79000	0.738301	1.221899	3.539117	0.420160	0.288493	0.202174	0.000000	0.000000	0.000000	
581	5.80000	0.646321	1.087213	3.451440	0.447828	0.243170	0.188024	0.000000	0.000000	0.000000	
582	5.81000	0.556807	1.177280	3.624590	0.429353	0.288528	0.192902	0.000000	0.000000	0.000000	
583	5.82000	0.646410	1.087271	3.451060	0.438870	0.252370	0.169652	0.000000	0.000000	0.000000	
584	5.83000	0.649907	1.244161	3.976540	0.392792	0.260849	0.192808	0.000000	0.000000	0.000000	
585	5.84000	0.670535	1.177283	3.625552	0.438770	0.270589	0.169802	0.000000	0.000000	0.000000	
586	5.85000	0.623888	1.086438	3.538647	0.411138	0.288469	0.188221	0.000000	0.000000	0.000000	
587	5.86000	0.692676	1.086779	3.627877	0.429576	0.215645	0.187880	0.000000	0.000000	0.000000	
588	5.87000	0.737245	1.087138	3.453165	0.447882	0.206689	0.192466	0.000000	0.000000	0.000000	
589	5.88000	0.624822	1.064177	3.713864	0.438774	0.243170	0.169547	0.000000	0.000000	0.000000	
590	5.89000	0.625195	1.199788	3.625712	0.411207	0.270217	0.188247	0.000000	0.000000	0.000000	
591	5.90000	0.647009	1.155472	3.450921	0.429881	0.234102	0.165043	0.000000	0.000000	0.000000	
592	5.91000	0.738192	1.063304	3.715322	0.429424	0.261284	0.183440	0.000000	0.000000	0.000000	
593	5.92000	0.670092	1.199829	3.537747	0.447689	0.288777	0.188332	0.000000	0.000000	0.000000	
594	5.93000	0.602308	1.222944	3.537994	0.411318	0.251989	0.188204	0.000000	0.000000	0.000000	
595	5.94000	0.738732	1.177200	3.627265	0.429650	0.233992	0.178850	0.000000	0.000000	0.000000	
596	5.95000	0.763379	1.243823	3.976355	0.438471	0.288718	0.179107	0.000000	0.000000	0.000000	
597	5.96000	0.646009	1.087366	3.363780	0.420656	0.252254	0.169671	0.000000	0.000000	0.000000	
598	5.97000	0.672029	1.153855	3.977277	0.429343	0.233761	0.192582	0.000000	0.000000	0.000000	
599	5.98000	0.647123	1.177897	3.451015	0.411559	0.243052	0.169715	0.000000	0.000000	0.000000	
600	5.99000	0.693512	1.176411	3.714744	0.392795	0.270012	0.197421	0.000000	0.000000	0.000000	
601	6.00000	0.693945	1.245700	3.626354	0.429845	0.215810	0.169635	0.000000	0.000000	0.000000	
602	6.01000	0.670477	1.199539	3.626559	0.429235	0.261070	0.211220	0.000000	0.000000	0.000000	
603	6.02000	0.622827	1.155716	3.187456	0.438864	0.270601	0.179054	0.000000	0.000000	0.000000	
604	6.03000	0.693104	1.176560	3.627311	0.383708	0.269965	0.197437	0.000000	0.000000	0.000000	
605	6.04000	0.736819	1.109426	3.364356	0.438699	0.270567	0.183581	0.000000	0.000000	0.000000	
606	6.05000	0.669328	1.154714	3.451067	0.447618	0.270441	0.202028	0.000000	0.000000	0.000000	
607	6.06000	0.738424	1.200013	3.538581	0.447965	0.261591	0.169797	0.000000	0.000000	0.000000	
608	6.07000	0.602083	1.222919	3.536043	0.484187	0.298146	0.188387	0.000000	0.000000	0.000000	
609	6.08000	0.647917	1.223745	3.537490	0.484642	0.216222	0.169611	0.000000	0.000000	0.000000	
610	6.09000	0.738136	1.176700	3.540636	0.383749	0.251728	0.201974	0.000000	0.000000	0.000000	
611	6.10000	0.668799	1.064207	3.451725	0.438629	0.261351	0.188083	0.000000	0.000000	0.000000	
612	6.11000	0.625329	1.154580	3.713456	0.438586	0.252154	0.188098	0.000000	0.000000	0.000000	
613	6.12000	0.739888	1.154047	3.890629	0.420454	0.215612	0.178707	0.000000	0.000000	0.000000	
614	6.13000	0.624919	1.176989	3.625374	0.429343	0.288558	0.192902	0.000000	0.000000	0.000000	
615	6.14000	0.646369	1.155159	3.363042	0.429655	0.270499	0.179028	0.000000	0.000000	0.000000	
616	6.15000	0.669903	1.063063	3.714697	0.410943	0.288370	0.197376	0.000000	0.000000	0.000000	
617	6.16000	0.670653	1.177677	3.626717	0.438796	0.215751	0.183371	0.000000	0.000000	0.000000	
618	6.17000	0.736170	1.178329	3.101549	0.438935	0.243276	0.183574	0.000000	0.000000	0.000000	
619	6.18000	0.738770	1.199591	3.627005	0.429503	0.252163	0.188162	0.000000	0.000000	0.000000	
620	6.19000	0.647727	1.108786	3.714321	0.392970	0.270131	0.178934	0.000000	0.000000	0.000000	
621	6.20000	0.738544	1.154553	3.626637	0.447935	0.252443	0.169695	0.000000	0.000000	0.000000	
622	6.21000	0.694583	1.199167	3.889579	0.429321	0.242882	0.197288	0.000000	0.000000	0.000000	
623	6.22000	0.626206	1.108493	3.976149	0.438439	0.270363	0.183485	0.000000	0.000000	0.000000	
624	6.23000	0.672014	1.199040	3.890097	0.365585	0.242501	0.183493	0.000000	0.000000	0.000000	
625	6.24000	0.692386	1.086384	3.625455	0.484173	0.298223	0.179022	0.000000	0.000000	0.000000	
626	6.25000	0.738784	1.177678	3.627430	0.466175	0.197708	0.187887	0.000000	0.000000	0.000000	
627	6.26000	0.760589	1.085888	3.627939	0.420264	0.270334	0.188124	0.000000	0.000000	0.000000	
628	6.27000	0.739050	1.040555	3.890713	0.420465	0.243074	0.164896	0.000000	0.000000	0.000000	
629	6.28000	0.738514	1.199940	3.539241	0.411537	0.252231	0.165162	0.000000	0.000000	0.000000	
630	6.29000	0.737634	1.108862	3.539930	0.420317	0.270349	0.188162	0.000000	0.000000	0.000000	
631	6.30000	0.670379	1.154821	3.625159	0.466190	0.270830	0.165167	0.000000	0.000000	0.000000	
632	6.31000	0.624546	1.154969	3.538736	0.420441	0.242939	0.188089	0.000000	0.000000	0.000000	
633	6.32000	0.648041	1.222620	3.625443	0.447701	0.261347	0.192825	0.000000	0.000000	0.000000	
634	6.33000	0.647360	1.109331	3.626568	0.420448	0.252117	0.178861	0.000000	0.000000	0.000000	
635	6.34000	0.669965	1.109096	3.626725	0.429443	0.261244	0.188106	0.000000	0.000000	0.000000	
636	6.35000	0.669659	1.177480	3.450880	0.420496	0.270421	0.179041	0.000000	0.000000	0.000000	
637	6.36000	0.737922	1.199970	3.451196	0.438749	0.270592	0.179061	0.000000	0.000000	0.000000	
638	6.37000	0.672505	1.175694	4.064881	0.383563	0.269883	0.192765	0.000000	0.000000	0.000000	
