NO_OF_SAMPLES	135
FREQUENCY	100
TIME_STAMP	2020-11-06, 17:12:54	195952.96520102
FIRST_SAMPLE	2177
DESCRIPTION	Force data in local (force plate) coordinates
DATA_INCLUDED	Force
FORCE_PLATE_TYPE	Amti
FORCE_PLATE_MODEL	Unknown
FORCE_PLATE_NAME	Force-plate 1
FORCE_PLATE_CORNER_POSX_POSY_X	-88.329201
FORCE_PLATE_CORNER_POSX_POSY_Y	573.721008
FORCE_PLATE_CORNER_POSX_POSY_Z	0.000000
FORCE_PLATE_CORNER_NEGX_POSY_X	-89.185501
FORCE_PLATE_CORNER_NEGX_POSY_Y	115.864998
FORCE_PLATE_CORNER_NEGX_POSY_Z	0.000000
FORCE_PLATE_CORNER_NEGX_NEGY_X	-592.245972
FORCE_PLATE_CORNER_NEGX_NEGY_Y	113.574997
FORCE_PLATE_CORNER_NEGX_NEGY_Z	0.000000
FORCE_PLATE_CORNER_POSX_NEGY_X	-594.474976
FORCE_PLATE_CORNER_POSX_NEGY_Y	572.864990
FORCE_PLATE_CORNER_POSX_NEGY_Z	0.000000
FORCE_PLATE_LENGTH	508.000000
FORCE_PLATE_WIDTH	463.550000
Sample	Time	Force_X	Force_Y	Force_Z	Moment_X	Moment_Y	Moment_Z	COP_X	COP_Y	COP_Z
2177	21.76000	43.374770	-35.255157	685.479874	36.118947	-88.821591	-11.872453	126.853432	54.221541	0.000000	
2178	21.77000	46.318744	-39.194588	705.455981	39.675363	-91.631592	-12.521757	127.070810	57.938451	0.000000	
2179	21.78000	49.831840	-44.343179	723.928012	43.155978	-94.314024	-13.195515	127.332822	61.542621	0.000000	
2180	21.79000	55.532354	-50.426690	741.259315	46.395771	-96.968153	-13.693337	127.620333	64.794619	0.000000	
2181	21.80000	56.680502	-57.023944	758.071491	49.425789	-98.977926	-14.374059	127.376298	67.695704	0.000000	
2182	21.81000	56.529364	-63.148056	773.402151	52.207973	-100.502672	-15.048191	126.827793	70.261673	0.000000	
2183	21.82000	54.625337	-71.083952	786.181772	54.452582	-101.525626	-15.991462	126.163222	72.375514	0.000000	
2184	21.83000	52.220536	-79.369221	796.416434	56.230517	-102.172402	-16.906176	125.474698	74.093183	0.000000	
2185	21.84000	50.721099	-88.709731	800.491978	57.356814	-102.115495	-17.950508	124.840080	75.594023	0.000000	
2186	21.85000	49.331344	-98.399736	798.583541	57.903588	-101.383196	-18.980758	124.292468	76.953509	0.000000	
2187	21.86000	48.094900	-108.098172	788.750818	57.778435	-99.858374	-19.969020	123.974278	78.260515	0.000000	
2188	21.87000	46.784770	-117.988103	771.793381	56.981070	-97.450889	-20.924495	123.651130	79.479603	0.000000	
2189	21.88000	44.581286	-126.746958	748.066021	55.647702	-94.170715	-21.693994	123.312725	80.711405	0.000000	
2190	21.89000	41.234041	-133.556212	716.518201	53.666830	-89.874807	-22.097523	122.943012	81.911069	0.000000	
2191	21.90000	36.760564	-137.870447	673.108329	50.957212	-83.839617	-21.992943	122.185414	83.464473	0.000000	
2192	21.91000	32.259784	-138.361594	623.472260	47.683715	-77.122811	-21.269993	121.444980	84.935326	0.000000	
2193	21.92000	27.026043	-140.781472	566.086180	43.467974	-69.525008	-20.816910	120.725584	86.328602	0.000000	
2194	21.93000	20.623636	-137.486062	503.105216	38.709611	-61.120858	-19.793357	119.669926	87.481536	0.000000	
2195	21.94000	12.732248	-130.327933	429.316824	33.155116	-51.395497	-18.209157	118.357705	88.998214	0.000000	
