NO_OF_SAMPLES	135
FREQUENCY	100
TIME_STAMP	2020-11-06, 17:12:54	195952.96520102
FIRST_SAMPLE	2177
DESCRIPTION	Force data in local (force plate) coordinates
DATA_INCLUDED	Force
FORCE_PLATE_TYPE	Amti
FORCE_PLATE_MODEL	Unknown
FORCE_PLATE_NAME	Force-plate 3
FORCE_PLATE_CORNER_POSX_POSY_X	1137.770020
FORCE_PLATE_CORNER_POSX_POSY_Y	573.268982
FORCE_PLATE_CORNER_POSX_POSY_Z	0.000000
FORCE_PLATE_CORNER_NEGX_POSY_X	1133.949951
FORCE_PLATE_CORNER_NEGX_POSY_Y	114.096001
FORCE_PLATE_CORNER_NEGX_POSY_Z	0.000000
FORCE_PLATE_CORNER_NEGX_NEGY_X	630.994019
FORCE_PLATE_CORNER_NEGX_NEGY_Y	120.760002
FORCE_PLATE_CORNER_NEGX_NEGY_Z	0.000000
FORCE_PLATE_CORNER_POSX_NEGY_X	631.823975
FORCE_PLATE_CORNER_POSX_NEGY_Y	581.182007
FORCE_PLATE_CORNER_POSX_NEGY_Z	0.000000
FORCE_PLATE_LENGTH	508.000000
FORCE_PLATE_WIDTH	463.550000
Sample	Time	Force_X	Force_Y	Force_Z	Moment_X	Moment_Y	Moment_Z	COP_X	COP_Y	COP_Z
2177	21.76000	0.626142	1.154111	3.889119	0.429311	0.242847	0.197239	0.000000	0.000000	0.000000	
2178	21.77000	0.556894	1.154907	3.625657	0.393101	0.251875	0.178916	0.000000	0.000000	0.000000	
2179	21.78000	0.601699	1.200744	3.451179	0.438597	0.215545	0.211044	0.000000	0.000000	0.000000	
2180	21.79000	0.694464	1.267805	3.714678	0.393159	0.215405	0.183465	0.000000	0.000000	0.000000	
2181	21.80000	0.670847	1.245092	3.624363	0.465993	0.298093	0.179195	0.000000	0.000000	0.000000	
2182	21.81000	0.623696	1.269163	3.187186	0.429796	0.252266	0.183699	0.000000	0.000000	0.000000	
2183	21.82000	0.622861	1.223732	3.099883	0.420581	0.270419	0.188351	0.000000	0.000000	0.000000	
2184	21.83000	0.624967	1.109047	3.713545	0.429431	0.270360	0.183529	0.000000	0.000000	0.000000	
2185	21.84000	0.649252	1.199396	3.889411	0.411153	0.233640	0.192648	0.000000	0.000000	0.000000	
2186	21.85000	0.648442	1.222165	3.713341	0.420252	0.270240	0.192859	0.000000	0.000000	0.000000	
2187	21.86000	0.623686	1.109205	3.451261	0.383857	0.288324	0.183662	0.000000	0.000000	0.000000	
2188	21.87000	0.739326	1.267396	3.627185	0.383948	0.251863	0.183642	0.000000	0.000000	0.000000	
2189	21.88000	0.647104	1.086824	3.626160	0.465973	0.252385	0.188032	0.000000	0.000000	0.000000	
2190	21.89000	0.603599	1.176748	3.888363	0.420238	0.261087	0.188139	0.000000	0.000000	0.000000	
2191	21.90000	0.739566	1.222404	3.714147	0.420674	0.243174	0.160513	0.000000	0.000000	0.000000	
2192	21.91000	0.601794	1.109286	3.626134	0.429354	0.261140	0.197313	0.000000	0.000000	0.000000	
2193	21.92000	0.670682	1.199893	3.625882	0.429583	0.261327	0.178995	0.000000	0.000000	0.000000	
2194	21.93000	0.624558	1.177612	3.536734	0.475165	0.289035	0.179094	0.000000	0.000000	0.000000	
2195	21.94000	0.671166	1.199872	3.713759	0.429602	0.243063	0.178901	0.000000	0.000000	0.000000	
