NO_OF_FRAMES	689
NO_OF_CAMERAS	14
NO_OF_MARKERS	19
FREQUENCY	100
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2020-11-06, 17:38:20	197478.89455217
DATA_INCLUDED	3D
MARKER_NAMES	1 - Head	2 - L_Shoulder	3 - L_Elbow	4 - L_Wrist	5 - R_Shoulder	6 - R_Elbow	7 - R_Wrist	8 - L_Hip	9 - L_Knee	10 - L_Ankle	11 - L_Heel	12 - L_Meta_V	13 - L_Toe_II	14 - R_Hip	15 - R_Knee	16 - R_Ankle	17 - R_Heel	18 - R_Meta_V	19 - R_Toe_II
Frame	Time	1 - Head X	1 - Head Y	1 - Head Z	2 - L_Shoulder X	2 - L_Shoulder Y	2 - L_Shoulder Z	3 - L_Elbow X	3 - L_Elbow Y	3 - L_Elbow Z	4 - L_Wrist X	4 - L_Wrist Y	4 - L_Wrist Z	5 - R_Shoulder X	5 - R_Shoulder Y	5 - R_Shoulder Z	6 - R_Elbow X	6 - R_Elbow Y	6 - R_Elbow Z	7 - R_Wrist X	7 - R_Wrist Y	7 - R_Wrist Z	8 - L_Hip X	8 - L_Hip Y	8 - L_Hip Z	9 - L_Knee X	9 - L_Knee Y	9 - L_Knee Z	10 - L_Ankle X	10 - L_Ankle Y	10 - L_Ankle Z	11 - L_Heel X	11 - L_Heel Y	11 - L_Heel Z	12 - L_Meta_V X	12 - L_Meta_V Y	12 - L_Meta_V Z	13 - L_Toe_II X	13 - L_Toe_II Y	13 - L_Toe_II Z	14 - R_Hip X	14 - R_Hip Y	14 - R_Hip Z	15 - R_Knee X	15 - R_Knee Y	15 - R_Knee Z	16 - R_Ankle X	16 - R_Ankle Y	16 - R_Ankle Z	17 - R_Heel X	17 - R_Heel Y	17 - R_Heel Z	18 - R_Meta_V X	18 - R_Meta_V Y	18 - R_Meta_V Z	19 - R_Toe_II X	19 - R_Toe_II Y	19 - R_Toe_II Z	
1133	11.32000	1006.610	331.884	680.451	799.808	485.589	538.155	746.945	574.387	260.358	739.523	588.288	23.328	806.505	236.497	534.404	759.580	140.532	266.960	743.251	120.672	35.211	359.489	536.752	494.998	46.139	500.555	190.731	-352.121	517.114	152.350	-414.256	489.120	196.658	-351.821	508.149	48.266	-306.069	446.117	24.442	347.440	150.115	567.165	-31.455	195.580	316.237	-403.046	230.258	152.616	-466.559	282.286	168.029	-380.621	213.957	48.231	-335.824	254.641	29.768
1134	11.33000	1010.118	333.121	676.617	799.685	486.060	538.183	746.978	574.811	260.552	739.638	588.385	23.391	806.404	236.561	534.322	759.464	140.652	266.934	743.299	120.665	35.383	359.379	537.299	494.837	48.265	506.206	198.934	-356.746	517.360	146.749	-419.793	490.055	189.605	-354.338	506.958	41.661	-310.170	445.359	25.289	348.171	150.615	566.356	-31.248	195.883	315.868	-403.350	230.146	152.437	-466.801	281.988	167.886	-380.480	213.969	48.158	-335.846	254.665	29.922
1135	11.34000	1013.394	334.771	672.879	799.587	486.424	538.131	746.822	575.111	260.531	739.689	588.381	23.262	805.295	237.508	533.671	759.171	140.838	266.954	743.306	120.659	35.241	359.091	537.786	494.779	49.024	508.151	204.006	-360.847	518.005	143.694	-424.763	491.154	185.107	-356.875	507.519	38.031	-314.276	444.687	26.453	348.567	150.954	565.807	-31.351	196.132	315.545	-403.618	230.077	152.183	-467.210	281.595	167.538	-380.627	213.861	48.048	-335.881	254.616	29.800
1136	11.35000	1017.444	336.445	668.494	799.886	487.154	538.511	746.710	575.276	260.588	739.618	588.386	23.271	804.776	237.905	533.593	758.735	140.865	266.932	743.260	120.698	35.318	359.117	538.145	494.013	37.223	501.426	202.329	-365.140	518.410	142.251	-429.806	491.451	182.640	-359.129	508.013	36.730	-317.158	443.648	27.542	349.369	151.549	564.621	-31.383	196.374	315.048	-403.973	229.962	151.986	-467.778	281.272	167.258	-380.553	213.801	47.886	-335.832	254.610	29.770
1137	11.36000	1021.233	338.509	662.996	799.612	487.221	538.555	746.580	575.486	260.263	739.556	588.379	23.275	804.388	238.131	533.531	758.198	141.037	266.982	743.211	120.867	35.299	358.619	538.536	493.382	39.273	505.021	208.488	-368.642	518.802	142.025	-433.788	492.033	181.318	-361.001	507.976	36.506	-319.481	442.632	28.352	350.013	152.035	563.379	-31.523	196.585	314.462	-404.526	229.997	151.750	-468.422	281.040	166.854	-380.674	213.762	47.884	-335.824	254.614	29.684
1138	11.37000	1025.346	340.160	656.311	799.305	487.593	538.687	746.417	575.723	260.394	739.484	588.372	23.183	804.086	238.354	533.619	757.813	141.390	266.936	743.145	120.870	35.340	358.145	539.582	492.771	35.681	503.841	210.502	-371.894	518.551	142.067	-437.642	491.587	180.484	-363.215	508.210	36.580	-321.668	441.803	28.476	350.460	152.418	562.255	-31.517	196.880	313.534	-405.089	230.056	151.521	-468.998	280.991	166.375	-380.778	213.764	47.872	-335.864	254.603	29.739
1139	11.38000	1029.284	342.007	650.662	799.255	487.910	538.645	746.471	576.129	260.680	739.491	588.516	23.222	803.494	239.045	533.405	757.479	141.609	266.835	743.139	120.765	35.349	357.688	540.156	492.086	31.988	503.815	210.732	-374.641	518.102	141.850	-441.185	491.072	179.243	-364.945	508.245	36.452	-323.479	440.590	28.290	351.015	152.890	560.749	-31.745	197.314	312.191	-405.550	230.487	151.078	-469.502	281.165	165.970	-380.847	213.807	47.880	-335.895	254.617	29.746
1140	11.39000	1033.169	344.136	643.168	799.376	488.320	538.674	746.409	576.322	260.337	739.429	588.475	23.136	803.647	238.926	533.697	757.386	141.842	266.948	743.148	120.783	35.395	356.991	540.812	491.480	25.411	500.014	209.882	-377.313	517.212	141.106	-444.368	490.131	177.478	-365.732	507.593	35.875	-324.516	439.123	28.479	351.380	153.151	559.754	-32.051	198.007	310.738	-406.053	230.842	150.913	-469.994	281.550	165.718	-380.865	213.926	47.985	-335.926	254.654	29.874
1141	11.40000	1036.728	346.066	635.685	798.925	488.513	538.418	746.380	577.029	260.726	739.564	588.716	23.103	802.726	239.736	532.927	757.521	142.109	266.898	743.249	120.773	35.391	356.169	541.831	490.962	27.085	503.950	214.060	-380.070	516.493	140.745	-447.419	488.879	176.279	-366.659	507.117	35.673	-325.083	437.750	28.330	352.093	153.425	558.333	-32.305	198.664	308.761	-406.388	231.601	150.745	-470.425	282.281	165.330	-381.014	214.184	48.028	-335.945	254.763	29.770
1142	11.41000	1040.494	348.195	627.829	799.076	488.933	538.396	746.439	577.399	260.596	739.402	588.693	23.015	802.004	240.345	532.542	757.580	142.359	267.113	743.252	120.885	35.304	355.213	542.391	490.435	24.486	502.770	215.001	-382.482	515.607	140.529	-450.110	487.895	175.319	-367.866	506.984	35.708	-325.172	436.484	27.953	352.903	153.969	556.563	-32.156	199.249	306.991	-406.847	232.296	150.750	-470.797	283.066	164.979	-381.380	214.462	48.203	-335.988	254.928	29.724
