NO_OF_FRAMES	441
NO_OF_CAMERAS	14
NO_OF_MARKERS	19
FREQUENCY	100
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2020-11-06, 17:06:58	195597.16557433
DATA_INCLUDED	3D
MARKER_NAMES	1 - Head	2 - L_Shoulder	3 - L_Elbow	4 - L_Wrist	5 - R_Shoulder	6 - R_Elbow	7 - R_Wrist	8 - L_Hip	9 - L_Knee	10 - L_Ankle	11 - L_Heel	12 - L_Meta_V	13 - L_Toe_II	14 - R_Hip	15 - R_Knee	16 - R_Ankle	17 - R_Heel	18 - R_Meta_V	19 - R_Toe_II
Frame	Time	1 - Head X	1 - Head Y	1 - Head Z	2 - L_Shoulder X	2 - L_Shoulder Y	2 - L_Shoulder Z	3 - L_Elbow X	3 - L_Elbow Y	3 - L_Elbow Z	4 - L_Wrist X	4 - L_Wrist Y	4 - L_Wrist Z	5 - R_Shoulder X	5 - R_Shoulder Y	5 - R_Shoulder Z	6 - R_Elbow X	6 - R_Elbow Y	6 - R_Elbow Z	7 - R_Wrist X	7 - R_Wrist Y	7 - R_Wrist Z	8 - L_Hip X	8 - L_Hip Y	8 - L_Hip Z	9 - L_Knee X	9 - L_Knee Y	9 - L_Knee Z	10 - L_Ankle X	10 - L_Ankle Y	10 - L_Ankle Z	11 - L_Heel X	11 - L_Heel Y	11 - L_Heel Z	12 - L_Meta_V X	12 - L_Meta_V Y	12 - L_Meta_V Z	13 - L_Toe_II X	13 - L_Toe_II Y	13 - L_Toe_II Z	14 - R_Hip X	14 - R_Hip Y	14 - R_Hip Z	15 - R_Knee X	15 - R_Knee Y	15 - R_Knee Z	16 - R_Ankle X	16 - R_Ankle Y	16 - R_Ankle Z	17 - R_Heel X	17 - R_Heel Y	17 - R_Heel Z	18 - R_Meta_V X	18 - R_Meta_V Y	18 - R_Meta_V Z	19 - R_Toe_II X	19 - R_Toe_II Y	19 - R_Toe_II Z	
544	5.43000	220.171	217.960	1626.148	209.258	384.839	1362.001	205.656	460.491	1037.250	271.499	472.120	808.628	204.040	99.741	1355.714	187.102	15.650	1036.931	235.312	-14.664	809.380	231.262	432.563	835.856	235.464	378.225	465.605	184.063	361.784	66.597	126.086	321.582	29.139	278.260	387.729	27.420	348.375	341.064	28.574	230.902	34.496	828.558	235.294	89.242	458.853	177.986	120.534	67.435	127.810	163.375	30.022	273.061	96.002	27.280	340.170	140.464	28.723
545	5.44000	220.069	217.939	1626.013	209.209	384.930	1362.026	205.587	460.473	1037.247	271.478	472.071	808.667	204.160	99.807	1355.645	187.055	15.626	1036.877	235.305	-14.597	809.469	231.156	432.660	835.935	235.302	377.969	465.200	184.159	361.518	66.407	126.108	321.581	29.067	278.284	387.666	27.456	348.401	341.043	28.591	230.991	34.427	828.495	235.281	89.211	458.847	177.961	120.495	67.459	127.763	163.364	30.006	273.073	96.061	27.313	340.209	140.457	28.729
546	5.45000	219.867	218.111	1626.103	209.154	384.908	1362.047	205.678	460.544	1037.239	271.437	472.113	808.608	204.018	99.835	1355.627	187.052	15.692	1036.883	235.553	-14.517	809.320	231.077	432.633	835.853	235.134	377.849	465.312	184.074	361.549	66.643	126.079	321.564	29.127	278.253	387.694	27.338	348.391	341.134	28.518	230.989	34.309	828.567	235.282	89.216	458.882	178.004	120.468	67.420	127.788	163.421	30.010	273.105	96.073	27.360	340.161	140.476	28.769
547	5.46000	219.792	217.941	1626.109	209.174	384.941	1362.048	205.760	460.607	1037.235	271.538	472.100	808.676	203.987	99.851	1355.598	187.027	15.707	1036.826	235.296	-14.386	809.360	230.933	432.526	835.843	235.397	377.928	465.160	184.228	361.409	66.446	126.123	321.590	29.151	278.281	387.653	27.471	348.360	341.091	28.566	231.013	34.506	828.550	235.296	89.217	458.901	178.038	120.497	67.372	127.747	163.316	30.074	273.069	96.020	27.255	340.254	140.488	28.741
548	5.47000	219.782	217.938	1626.143	209.138	385.086	1362.060	205.703	460.638	1037.243	271.635	472.244	808.924	203.862	99.887	1355.625	187.049	15.754	1036.764	235.468	-14.466	809.435	231.265	432.688	835.830	235.260	377.774	465.224	184.021	361.566	66.611	126.066	321.573	29.186	278.200	387.764	27.423	348.376	341.092	28.560	231.087	34.425	828.543	235.330	89.216	458.866	177.980	120.467	67.422	127.751	163.316	30.024	273.088	96.031	27.314	340.204	140.490	28.752
549	5.48000	219.719	218.123	1626.173	209.062	384.987	1362.051	205.644	460.659	1037.320	271.723	472.296	808.917	203.841	99.904	1355.668	186.977	15.734	1036.819	235.202	-14.348	809.413	231.230	432.765	835.944	235.277	377.977	465.229	184.007	361.448	66.551	126.059	321.606	29.178	278.208	387.720	27.416	348.368	341.084	28.540	230.997	34.532	828.448	235.400	89.280	458.834	178.029	120.436	67.430	127.740	163.371	30.036	273.038	95.940	27.242	340.189	140.450	28.719
550	5.49000	219.646	218.072	1626.142	209.112	385.010	1362.059	205.638	460.695	1037.360	271.535	472.123	808.741	203.896	99.928	1355.635	186.939	15.805	1036.774	235.457	-14.299	809.356	231.070	432.603	835.859	235.255	377.811	465.302	183.908	361.543	66.540	126.060	321.542	29.144	278.211	387.714	27.465	348.364	341.086	28.530	230.954	34.487	828.618	235.314	89.298	458.837	177.959	120.456	67.456	127.848	163.398	29.992	273.017	96.052	27.343	340.175	140.440	28.697
551	5.50000	219.573	218.248	1626.202	209.020	385.158	1362.091	205.576	460.851	1037.420	271.488	472.211	808.795	203.823	100.016	1355.650	186.944	15.836	1036.838	235.411	-14.347	809.303	231.170	432.752	835.927	235.225	377.954	465.346	183.960	361.540	66.542	126.120	321.587	29.133	278.204	387.770	27.451	348.346	341.093	28.542	230.782	34.509	828.590	235.354	89.282	458.812	177.978	120.558	67.441	127.679	163.346	30.068	273.075	95.991	27.329	340.189	140.475	28.765
552	5.51000	219.495	218.234	1626.075	209.066	385.175	1362.085	205.698	460.807	1037.465	271.723	472.318	808.974	203.890	100.052	1355.656	186.958	15.836	1036.856	235.333	-14.279	809.353	231.061	432.680	835.805	235.153	377.875	465.326	184.151	361.691	66.489	126.067	321.602	29.099	278.278	387.689	27.528	348.363	341.023	28.486	230.850	34.492	828.606	235.328	89.280	458.918	178.003	120.484	67.462	127.707	163.368	30.050	273.056	95.962	27.362	340.218	140.444	28.719
553	5.52000	219.652	218.058	1626.175	209.032	385.115	1362.077	205.601	460.859	1037.384	271.530	472.214	808.792	203.829	100.068	1355.700	186.942	15.834	1036.901	235.393	-14.258	809.403	231.146	432.776	835.715	235.163	377.866	465.209	184.146	361.648	66.354	126.053	321.596	29.163	278.282	387.712	27.511	348.392	341.113	28.513	230.782	34.479	828.600	235.302	89.235	458.929	178.068	120.474	67.436	127.783	163.385	29.985	273.076	96.045	27.291	340.143	140.425	28.687
